iqs_verbatim_2016.vin,iqs_verbatim_2016.vin7,iqs_verbatim_2016.squish_vin,iqs_verbatim_2016.sequence_number,iqs_verbatim_2016.make,iqs_verbatim_2016.series,iqs_verbatim_2016.model_and_type,iqs_verbatim_2016.produktionsdatum,iqs_verbatim_2016.baureihe,iqs_verbatim_2016.werk,iqs_verbatim_2016.motor,iqs_verbatim_2016.getriebe,iqs_verbatim_2016.lackfarbe,iqs_verbatim_2016.polster_material,iqs_verbatim_2016.polster_farbe,iqs_verbatim_2016.sonderausstattung,iqs_verbatim_2016.totalproblems,iqs_verbatim_2016.problems_indicated,iqs_verbatim_2016.category,iqs_verbatim_2016.problem,iqs_verbatim_2016.malfunction_design_unknown,iqs_verbatim_2016.verbatim,iqs_verbatim_2016.mileage,iqs_verbatim_2016.took_to_dealer,iqs_verbatim_2016.resolved,iqs_verbatim_2016.severity,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
WBA8E3C51GK501181,K501181,WBA8E3C5GK,2278778W,BMW,3 Series,BMW 3 Series 4dr Sdn,9/7/15,F30,01.01 M�nchen,N26,AUT,MELBOURNEROT METALLIC,LC LEDER DAKOTA,L3 SCHWARZ/AKZENT ROT,01CA; 01CB; 0216; 024B; 0255; 0258; 02TB; 02VB; 0302; 0319; 0322; 03AG; 03DZ; 0403; 0423; 0430; 0431; 0459; 0465; 0481; 0488; 0493; 0494; 04FU; 04NE; 0508; 0521; 0534; 0544; 0563; 0575; 05A1; 05A2; 05DS; 0645; 0655; 0676; 0697; 06AC; 06AE; 06NH; 0775; 07AC; 0823; 0840; 0842; 0845; 0853; 08KL; 08TN; 0925; 0992; 0993; 09AA,1,AEN07,Audio/Communication/Entertainment/Navigation (ACEN),AEN07: Built-in Bluetooth Mobile Phone/Device Frequent Pairing/Connectivity Issues,D,Pairing is not always consistent; sometimes it doesn't pair.,1300,No,,1,,,,,,,,,,,,,,,
WBA8E9G50GNT42147,NT42147,WBA8E9G5GN,2278366S,BMW,3 Series,BMW 3 Series 4dr Sdn,7/30/15,F30,70.01 Rosslyn,N26,AUT,MINERALGRAU METALLIC,KC SENSATEC 1,SW SCHWARZ,01CA; 01CB; 0216; 0255; 0258; 02A5; 02TB; 02VB; 0302; 0319; 03AG; 03DZ; 0423; 0430; 0431; 0459; 0465; 0481; 0493; 0494; 04FU; 04NE; 0508; 0521; 0534; 0544; 0563; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NH; 06WA; 0775; 07AC; 0823; 0842; 0845; 0853; 08KL; 08TN; 0925; 0992; 0993; 09AA,3,"EXT38, AEN06, INT37",Exterior,EXT38: Excessive Wind Noise,NULL,It is louder than I expected it to be in this car,1700,No,,,,,,,,,,,,,,,,,
WBA8E9G50GNT42147,NT42147,WBA8E9G5GN,2278366S,BMW,3 Series,BMW 3 Series 4dr Sdn,7/30/15,F30,70.01 Rosslyn,N26,AUT,MINERALGRAU METALLIC,KC SENSATEC 1,SW SCHWARZ,01CA; 01CB; 0216; 0255; 0258; 02A5; 02TB; 02VB; 0302; 0319; 03AG; 03DZ; 0423; 0430; 0431; 0459; 0465; 0481; 0493; 0494; 04FU; 04NE; 0508; 0521; 0534; 0544; 0563; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NH; 06WA; 0775; 07AC; 0823; 0842; 0845; 0853; 08KL; 08TN; 0925; 0992; 0993; 09AA,3,"EXT38, AEN06, INT37",Audio/Communication/Entertainment/Navigation (ACEN),AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,NULL,Can't find the name I'm saying for a street or tells me it doesn't exist.,1700,No,,,,,,,,,,,,,,,,,
WBA8E9G50GNT42147,NT42147,WBA8E9G5GN,2278366S,BMW,3 Series,BMW 3 Series 4dr Sdn,7/30/15,F30,70.01 Rosslyn,N26,AUT,MINERALGRAU METALLIC,KC SENSATEC 1,SW SCHWARZ,01CA; 01CB; 0216; 0255; 0258; 02A5; 02TB; 02VB; 0302; 0319; 03AG; 03DZ; 0423; 0430; 0431; 0459; 0465; 0481; 0493; 0494; 04FU; 04NE; 0508; 0521; 0534; 0544; 0563; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NH; 06WA; 0775; 07AC; 0823; 0842; 0845; 0853; 08KL; 08TN; 0925; 0992; 0993; 09AA,3,"EXT38, AEN06, INT37",Interior,INT37: Sun Visor/Mirror - DTU,NULL,The mirror needs to be bigger and the visor needs to be able to pull out to the side with an extending arm.,1700,No,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02",Features/Controls/Displays (FCD),,,,,,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02",Audio/Communication/Entertainment/Navigation (ACEN),,,,,,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02",Audio/Communication/Entertainment/Navigation (ACEN),,,,,,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02",Audio/Communication/Entertainment/Navigation (ACEN),,,,,,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02",Audio/Communication/Entertainment/Navigation (ACEN),,,,,,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02",Audio/Communication/Entertainment/Navigation (ACEN),,,,,,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02",Seats,,,,,,,,,,,,,,,,,,,,,,
WBA5A5C56GD526530,D526530,WBA5A5C5GD,2405957G,BMW,5 Series,BMW 5 Series 4dr Sdn,7/16/15,F10,02.04 Dingolfing,N20,AUT,GLACIERSILBER METALLIC,K8 LEATHERETTE,SW SCHWARZ,01CA; 01CB; 01CC; 01CD; 0255; 0258; 02K1; 02TB; 02VB; 0302; 0319; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 04BN; 04NE; 04U2; 04UR; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,8,"FCD14, AEN01, AEN04, AEN06, AEN07,NULL, SEAT10, HVAC02","Heating
5UXKR0C51G0P30465,0P30465,5UXKR0C5G0,2410032B,BMW,X5,BMW X5 4dr SUV,2015-11-18,F15,75.10 Spartanburg,N55,AUT,SPACEGRAU METALLIC,LC LEDER DAKOTA,SW SCHWARZ,01CA; 0212; 0245; 0248; 0255; 0258; 02H7; 02VB; 0302; 0319; 0322; 0346; 03AA; 03AG; 0402; 0417; 0420; 0423; 0430; 0441; 0456; 0488; 0493; 0494; 0496; 04AC; 04FF; 04NB; 04NE; 0502; 0508; 0522; 0524; 0563; 0575; 05A1; 05AG; 05AS; 05DL; 0609; 0610; 0645; 0655; 0676; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TH; 08TN; 0992; 09AA,1,DEXP13,Driving Experience,DEXP13: Steering System/Wheel - Not Centered (misaligned),M,reported the problem within a week after delivery. They originally said they saw no problem",NULL,2500,Yes,Partially,,,,,,,,,,,,,,,,,,
WMWZC3C54GWT07358,WT07358,WMWZC3C5GW,25059734,MINI,Countryman,MINI Countryman 4dr SUV,7/20/15,R60,85.10 Graz,N18,AUT,JUNGLE GREEN METALLIC,K9 LEATHERETTE                  ,E1 E1 CARBON BLACK,0205; 0210; 0249; 0258; 02E7; 02VB; 02XA; 0314; 0322; 0325; 0383; 0386; 03A2; 03AR; 0403; 0423; 0441; 0450; 0473; 0481; 0493; 04AA; 04CU; 04E1; 04UF; 04UK; 04UL; 0507; 0521; 0522; 0534; 0550; 0563; 05A1; 05DT; 0620; 0645; 0653; 0674; 0693; 06FP; 06NE; 06NF; 06NM; 06UH; 06UM; 06VC; 0785; 07L5; 0823; 0845; 0853; 0876; 08KL; 08SM; 08TN; 0925; 0927; 0992; 09AA,3,"EXT28, EXT39, AEN06",Exterior,EXT28: Paint Imperfection,NULL,seem to be a tape mark by the door handle,3700,No,,,,,,,,,,,,,,,,,
WMWZC3C54GWT07358,WT07358,WMWZC3C5GW,25059734,MINI,Countryman,MINI Countryman 4dr SUV,7/20/15,R60,85.10 Graz,N18,AUT,JUNGLE GREEN METALLIC,K9 LEATHERETTE                  ,E1 E1 CARBON BLACK,0205; 0210; 0249; 0258; 02E7; 02VB; 02XA; 0314; 0322; 0325; 0383; 0386; 03A2; 03AR; 0403; 0423; 0441; 0450; 0473; 0481; 0493; 04AA; 04CU; 04E1; 04UF; 04UK; 04UL; 0507; 0521; 0522; 0534; 0550; 0563; 05A1; 05DT; 0620; 0645; 0653; 0674; 0693; 06FP; 06NE; 06NF; 06NM; 06UH; 06UM; 06VC; 0785; 07L5; 0823; 0845; 0853; 0876; 08KL; 08SM; 08TN; 0925; 0927; 0992; 09AA,3,"EXT28, EXT39, AEN06",Exterior,EXT39: Excessive Road Noise,NULL,not enough insulation and from the run flat tires,3700,No,,,,,,,,,,,,,,,,,
