,Make,Series,Total_Problems,Category,Mode,Verbatim,Score
36,BMW,X3,8,Features/Controls/Displays (FCD),D,turn signal needs a stronger tactile feel to its operation. Often in trying to return signal lever to neutral position; overshoot an signal a turn in opposite direction. In correcting overshoot; overshoot in the opposite direction. This results in first signaling a lane change in one direction; then in oposite direction and back and forth. This is a real safety issue. I hate this function.,0.1779
37,BMW,X3,8,Features/Controls/Displays (FCD),D,little value in knowing the engine oil temp; would like to know engine coolant temp instead,0.5584
38,BMW,X3,8,Features/Controls/Displays (FCD),D,hidden behind rim of steering wheel,0.0
39,BMW,X3,8,Heating; Ventilation; and Air Conditioning (HVAC),D,on cold start; blows cold air; does not wait until there is sufficient heat from engine. In addition; auto temp setting does not result in proper air temperature matching setting. Very poor control of interior temp; either very hot  or very cold; overcast winter day. This is a design problem; Dealer will be a waste of time.,-0.8357
40,BMW,X3,8,Heating; Ventilation; and Air Conditioning (HVAC),D,This is a design problem. Fan speed is high to compensate for insufficiently sized air ducting.,-0.1027
41,BMW,X3,8,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
42,BMW,X3,8,Heating; Ventilation; and Air Conditioning (HVAC),D,Controls do not control temperature well within cabin.,-0.2057
43,BMW,X3,8,Heating; Ventilation; and Air Conditioning (HVAC),D,does not clear ice from exterior of windshield; interior fogs in area of ice. not enough heat available to keep windshield clear of snow even when starting from heated garage. this is a design issue.,-0.5216
44,BMW,X3,2,Features/Controls/Displays (FCD),M,Had a bad sensor plug on a side airbag in the passenger door that resulted in an airbag failure message. Was intermittent. Took to dealership two times. Once to diagnose and once to replace sensor plug which resulted in everything working properly,-0.7783
45,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),D,I will mention call 'person's name' that is in my phone contact and it will respond with say the number; this happens ocassionally. Navigation is worse; generally doesn't understand an address.,-0.4215
46,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
47,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
48,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
49,BMW,X3,8,Features/Controls/Displays (FCD),D,Difficult to see the head up display when using polarized sunglassess,-0.3612
50,BMW,X3,8,Features/Controls/Displays (FCD),D,temperature of the heated steering wheel is variable; I cannot manually adjust.  Also gets too hot where the bottom center spoke meets the wheel - can almost ccause a burn there where there is metal.,0.0
51,BMW,X3,8,Audio/Communication/Entertainment/Navigation (ACEN),M,inputting address sometimes does not work,0.0
52,BMW,X3,8,Seats,D,control for one of the seats came out of mount - cannot be used until repaired.   it is mounted low and suseptible to being kicked or hit my items on the floor.,-0.2732
53,BMW,X3,8,Seats,D,difficult to use seat belt with booster seat due to the latch for the seatbelt being recessed.,-0.3612
54,BMW,X3,8,Seats,M,occasional locking when trying to buckle,0.0
55,BMW,X3,8,Heating; Ventilation; and Air Conditioning (HVAC),M,the switch for the rear heated seat came out of its mount and not accessable,0.0
56,BMW,X3,8,Engine/Transmission,M,in some cases the engine will shut down too fast; like at a very brief stop sign.  can also be abrupt like when there is a more forceful stop.,0.0112
57,BMW,X3,1,Features/Controls/Displays (FCD),D,not very effective in hard rain,-0.5322
58,BMW,X3,11,Exterior,M,,0.0
59,BMW,X3,11,Features/Controls/Displays (FCD),M,,0.0
60,BMW,X3,11,Features/Controls/Displays (FCD),D,,0.0
61,BMW,X3,11,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
62,BMW,X3,11,Audio/Communication/Entertainment/Navigation (ACEN),D,The navigation system doesn't recognize addresses and is 100% annoying to use.  I end up using google maps & my iphone.,-0.4019
63,BMW,X3,11,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
64,BMW,X3,11,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
65,BMW,X3,11,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
66,BMW,X3,11,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
67,BMW,X3,11,Interior,D,,0.0
68,BMW,X3,11,Interior,D,,0.0
69,BMW,X3,1,Features/Controls/Displays (FCD),D,,0.0
70,BMW,X3,2,Exterior,M,I mentioned it to salesperson during test drive at speeds of 40-50mph.  He said it was improved - I said it wasn't because I had a 2011 X3,0.4767
71,BMW,X3,2,Exterior,D,I think it is poor insulation under the car or noisy tires.,-0.5859
72,BMW,X3,3,Exterior,D,I Xenon light on my Lexus,0.0
73,BMW,X3,3,Exterior,M,,0.0
74,BMW,X3,3,Features/Controls/Displays (FCD),D,,0.0
75,BMW,X3,2,Seats,D,,0.0
76,BMW,X3,2,Seats,M,,0.0
77,BMW,X3,1,Features/Controls/Displays (FCD),D,Even the BMW person from the dealership cold not find it!,0.0
78,BMW,X3,2,Features/Controls/Displays (FCD),D,,0.0
79,BMW,X3,2,Features/Controls/Displays (FCD),D,,0.0
80,BMW,X3,1,Exterior,M,There was a chip on the exterior paint; front; passenger side near headlamp noticed  upon delivery. A certified dealer touch-up professional 'patched/repaired' the spot.,0.0
81,BMW,X3,2,Exterior,M,: RIGHT FRONT HEADLIGHT NOT WORKING UPON DELIVERY,0.0
82,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),M,NAV SYSTEM DI NOT ACCURATELLY DEPICT MY CURRENT LOCATION DUE TO LOOSE SOLDER CONNECTION IN SHARK FIN ROOD ANTENNA : NAVIGATION MAP DID NOT SHOW MY CORRECT LOCATION DUE TO LOOSE SOLDER CONNECTION IN SHARK FIN ANTENNA,-0.5574
83,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,I have tried to connect my new iPhone 6 to my BMW X3; but I haven't been able to do so.,0.0
84,BMW,X3,4,Heating; Ventilation; and Air Conditioning (HVAC),D,I have another car  and when I set the temperature I can immediately feel the heat.  With the X3; it takes time and it doesn't really feel as hot as it should be.,0.0
85,BMW,X3,4,Interior,D,,0.0
86,BMW,X3,4,Interior,D,You can barely put anything in the glove compartment.,0.0
87,BMW,X3,1,Audio/Communication/Entertainment/Navigation (ACEN),D,I haven't taken the time to view the manual; but am unable to revise orientation to North direction for map. Find system is not intuitive.,0.0
88,BMW,X3,3,Driving Experience,D,xx,0.0
89,BMW,X3,3,Seats,D,xxx,0.0
90,BMW,X3,3,Engine/Transmission,D,xx,0.0
91,BMW,X3,11,Driving Experience,U,Snow packs in wheels and makes car shimmer,0.0
92,BMW,X3,11,Features/Controls/Displays (FCD),D,High beam is not automatic/sensor.  My other car is and cost less,0.0
93,BMW,X3,11,Features/Controls/Displays (FCD),D,Hidden behind wheel,0.0
94,BMW,X3,11,Features/Controls/Displays (FCD),D,Cannot see control,0.0
95,BMW,X3,11,Seats,D,,0.0
96,BMW,X3,11,Seats,D,Hard to see,-0.1027
97,BMW,X3,11,Seats,D,,0.0
98,BMW,X3,11,Seats,D,,0.0
99,BMW,X3,11,Seats,D,Impossible to see and use. Very annoying,-0.4576
100,BMW,X3,11,Heating; Ventilation; and Air Conditioning (HVAC),D,Not sure how auto works for heat. Always big fan speed,0.5574
101,BMW,X3,11,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
102,BMW,X3,3,Features/Controls/Displays (FCD),D,System was confusing - not clear how to initiate operation or turn it off; if desired.  Would like to switch between 360 view and rear camera.  Not clear how to do that.,-0.17
103,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,The user interface is poorly designed.  It is not intuitive. : User interface is not intuitive.  It is difficult to navigate the menus and to find the functions.,-0.3612
104,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
105,BMW,X3,2,Exterior,M,: I cannot get the tailgate to open every time with the underneath 'kick' motion.  Perhaps it is operator error!,-0.4574
106,BMW,X3,2,Heating; Ventilation; and Air Conditioning (HVAC),M,The first time I tried to use the rear window defroster ; it did not defrost the whole window- just the area within the wiper blade.,0.0
107,BMW,X3,8,Driving Experience,D,I understand that it is no longer mechanical but computer controlled .Hence ; it is very responsive to very little pressure -First noticed it on Highway after picked up from dealership for initial drive . Buyers need to be told this .,0.0802
108,BMW,X3,8,Features/Controls/Displays (FCD),D,,0.0
109,BMW,X3,8,Audio/Communication/Entertainment/Navigation (ACEN),D,The dial is a joke . A touchscreen like my Ford would be superior . Tried to use Navigation with voice commands -didn't work .Can't get/maintain favorites on Sirius . No amount of training in the BMW dealership could prepare you for this . I don't have time to spend hours reading the manual -Need to get rid of the dial !,0.6072
110,BMW,X3,8,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
111,BMW,X3,8,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
112,BMW,X3,8,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
113,BMW,X3,8,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
114,BMW,X3,8,Engine/Transmission,M,This feature was briefly mentioned when car picked . Startled both my wife and I when it first happened . I thought the car stalled . If this feature is getting us significant extra mileage it should be eliminated . Or better explained how to turn it off !!!!,0.5216
115,BMW,X3,4,Exterior,D,,0.0
116,BMW,X3,4,Features/Controls/Displays (FCD),D,,0.0
117,BMW,X3,4,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
118,BMW,X3,4,Engine/Transmission,D,,0.0
119,BMW,X3,2,Exterior,M,Makes a noise that sounds as though it is catching or needs to be lubed,0.0
120,BMW,X3,2,Features/Controls/Displays (FCD),D,They need to be adjusted & I have had difficulty finding the right instructions in the manual,-0.34
121,BMW,X3,1,Features/Controls/Displays (FCD),D,Button and light are both on the side of the steering column behind the wheel. Hard to find the button and hard to tell if it's on or not.,-0.2023
122,BMW,X3,1,Interior,D,The interior trim scratches easily to cleaning rags.,0.34
123,BMW,X3,1,Interior,D,Cup holders are too small.,0.0
124,BMW,X3,10,Exterior,U,The hood of the car is shaped in such a way that in the morning; with normal overnight moisture; the hood creates two rivers of water that splash up the windshield as you drive; interfering with vision.  This continues until the hood finally dries.  Very annoying!,0.1025
125,BMW,X3,10,Features/Controls/Displays (FCD),D,It is difficult to see the icons on the washer/wiper handle.  Also; the wiper has intermittent dial; which does not change the speed at all.  Essentially there is one wiper speed; fast.  The only alternative is to manually hit the handle when a quick wipe is needed.,-0.3612
126,BMW,X3,10,Seats,M,We have set the #1 and #2 multiple times; but pushing the button does not do anything.  The seat stays put unless manually pushing each electronic slide button.,0.0
127,BMW,X3,10,Seats,D,Same as previous page,0.0
128,BMW,X3,10,Seats,D,Within days of receiving the new car; the drivers seat has blue shading where the driver slides in and out of the car.  The side of the seat is slightly elevated higher than the main area of the seat.  In order to get in and out of the car there is excessive pressure on the raised area of the seat; which leaves blue from denim clothing and a crushed look to that part of the seat.,-0.6124
129,BMW,X3,10,Heating; Ventilation; and Air Conditioning (HVAC),D,Two different ways to set the temp; neither seems to work on its own.  Very confusing.  Have to play around with it and constantly change it up and down. : There is a digital heat dial; to set temp by degrees.  There is also a round wheel with a blue square on one side; and a red square on the other side.  No idea how these two relate.  I have figured that I can set a temp number; and then use the little wheel to increase or decrease from the set temp.  If I only use the digital sets; there is no temp change at all.  Also; there are too many set stops on the fan direction; and it is difficult to locate the feet or straight blow.,-0.1918
130,BMW,X3,10,Heating; Ventilation; and Air Conditioning (HVAC),D,If I turn the fan on past the 2nd little triangle; it gets louder and louder as you go to full speed.  It drowns out the stereo and conversation.,-0.2263
131,BMW,X3,10,Heating; Ventilation; and Air Conditioning (HVAC),D,The defroster takes a very long time to clear the front window.  It is as though the fan is not pointed at the correct angle to clear the driver's side.  I have to blow it at full speed and toggle back and forth between hot air and cold air.,0.7579
132,BMW,X3,10,Interior,D,Center console has a built in cell phone charger/holder.  It takes up almost all of the space within the console; leaving little/awkward room for anything else.  Cannot figure out how to take the cell phone holder out.  It is not something I would ever use.  Not very useful.,0.4927
133,BMW,X3,10,Interior,D,Glove compartment and surround; interior doors in foot area.  It seems wherever someones feet can touch gets scuffed very easily.  The scuffs do not clean off with warm water and mild soap.,0.3259
134,BMW,X3,3,Exterior,D,I expected brighter head light to this 2015 brand new X3. The brightness is same as the one in 2005 Honda Odyssey. No technical development in lightings during 10 years? I'm not sure if I choose the LED LIGHT PACKAGE option; it would be much brighter but BMW can do better job in lighings for the cars with standard options.,0.7326
135,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,It just doesn't get it. Very poorly made. Why did BMW make this fuction nobody can use?,0.0
136,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,When it paired with the phone; the sound quality is very poor so I cannot listen to the music that I saved in my phone. The sound is very samll and static just like the sound from very old stereo in antique shop. One day; when I start the engine; the bluetooth paired with my phone automatically and the sound was like thundering I almost shocked to death. Overall; I don't like BMW's bluetooth technology.,0.0679
137,BMW,X3,1,Interior,M,There were white dusty fingerprints inside of the panel glass,0.0
138,BMW,X3,11,Exterior,M,No matter how much I try; I can't get the motion of my foot to make it open ,-0.2732
139,BMW,X3,11,Features/Controls/Displays (FCD),M,Washer fluid level low warning lights kept coming on.  Told dealer who dismissed me as stupid female that doesn't know her nozzles are frozen.  Wasn't due to cold and knew that so when it was 60 degrees; I took a pic of the dash warnings to show the BMW idiots it is a bad sensor. : Already noted - washer fluid warnings but is really faulty sensor,-0.8831
140,BMW,X3,11,Features/Controls/Displays (FCD),D,The widget clock only works part of the time .,0.0
141,BMW,X3,11,Features/Controls/Displays (FCD),M,Washer fluid low warnings.  Bad sensor as fluid container is full.,-0.7783
142,BMW,X3,11,Features/Controls/Displays (FCD),D,The dash lights are very distracting so I do not use this feature at all.,-0.3597
143,BMW,X3,11,Features/Controls/Displays (FCD),D,Sometimes it doesn't get hot or stay hot; and other times it is burning hot and have to turn it off immediately.  Should be like controls for the seats with consistent temps and levels the driver can adjust.  Also; the button is in the worst spot.  Put it on the dash like everything else!,-0.1007
144,BMW,X3,11,Features/Controls/Displays (FCD),D,,0.0
145,BMW,X3,11,Audio/Communication/Entertainment/Navigation (ACEN),D,Voice recognition rarely understands what I am saying.  Alternative route hard to find; need easier access to detour options.  Also the turn by turn route list is buried and can't be found most times.  I want to know the turns or route I will be taking.,0.4549
146,BMW,X3,11,Heating; Ventilation; and Air Conditioning (HVAC),D,open / close icon seems opposite of normal what is open verses closed vents.,0.0
147,BMW,X3,11,Interior,M,The small compartment on the driver's side dash between the steering wheel and door doesn't often close.  It has to be just right to latch or stay latched.,0.0
148,BMW,X3,11,Interior,D,,0.0
149,BMW,X3,4,Features/Controls/Displays (FCD),M,: Front drivers window squeaks when lowering.  I plan on letting the dealer review when I take the vehicle in for the first service,-0.25
150,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,Even slowly and clearly speaking it does not get the correct name all the time.  It happens more with this vehicle than my 4runner or jeep,0.4019
151,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),U,The BMW online widgets that gives me weather updates for where I am  does not work lately.  it is on and off often.,0.0
152,BMW,X3,4,Interior,M,,0.0
153,BMW,X3,1,Driving Experience,M,seems to be a low RPM phenomenon  at almost any speed.  Not that excessive but noticeable.  At other speeds just fine and doesn't impact steering whatsoever.  May be tied to the fact that the vehicle has lane departure warning .  Not a major issue.,-0.3506
154,BMW,X3,2,Interior,D,,0.0
155,BMW,X3,2,Interior,D,,0.0
156,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
157,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Does not always understand voice input for destination address,0.0
158,BMW,X3,1,Driving Experience,D,,0.0
159,BMW,X3,2,Seats,D,I just can't seem to put the seat belt on easily. I am 5ft 2inches in height. I have to turn around and look at the buckle before I can lock it.,0.34
160,BMW,X3,2,Interior,M,Whenever I use the windshield wiper fluid to wipe the windshield; I get a very strong chemical odor inside the car. Lasts for several minutes.,0.5563
161,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,In a low light hard to get to location in the glove box. This is not a dealer problem- its a design flaw.,-0.0624
162,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
163,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
164,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,Roads that are not available as the suggested route. BMW uses the least expensive mapping company and has the worst software,-0.6249
165,BMW,X3,3,Features/Controls/Displays (FCD),M,It used to work but just stopped working,-0.3291
166,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
167,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
168,BMW,X3,1,Exterior,U,: I face visibility issues while driving; especially while shifting lanes the beams on right side obstruct view while changing lanes which results in a larger blind spot. It is very difficult to know if a car is approaching from behind in the adjacent lane.. The lane guidance system shd be standard in X3 I had called the dealership to get the system installed and they declined as the system can only be fitted during manufacturing process which is not good,-0.7845
169,BMW,X3,3,Exterior,M,this only was present when I picked up the car - it has not been present since then; but the car is almost always garaged,0.0
170,BMW,X3,3,Features/Controls/Displays (FCD),D,the real problem here is that they are not very useful - they fail to warn when someone is in your blind spot; which is the reason for the system. I have this in other BMW's and it works much better,-0.8514
171,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,frequently the system does not recognize the phone - need to repair - this does not happen in my older BMW's; but it did in the 2014 BMW that I traded for this car - new software not compatable?,0.0
172,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Requires you to state the street name; city; state and zip code . Sometimes confuses the order of these.,-0.3182
173,BMW,X3,2,Interior,D,Storage bin is just one large box. Could use a shelf.,0.0
174,BMW,X3,1,Driving Experience,D,The button to set the parking brake doesn't make sense,0.0
175,BMW,X3,1,Interior,D,The floormats that came with the car are fine.  I was given winter mats for the front floors; and these do not fit.  They are too large for the space.,-0.0798
176,BMW,X3,7,Exterior,M,The seal has been sticking so it aborts the opening process and self closes. I have to manually tug on it while pressing the button to break the seal.,0.0
177,BMW,X3,7,Exterior,D,I can get it to activate about 10% of the time.,0.0
178,BMW,X3,7,Exterior,M,,0.0
179,BMW,X3,7,Exterior,M,It sounds like wind is coming in the vehicle when it's not.,0.3612
180,BMW,X3,7,Features/Controls/Displays (FCD),D,It's hidden so that I have to pull a yoga move to be able to contort my head to see if the heated steering wheel indicator is lit or not.,0.0
181,BMW,X3,7,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
182,BMW,X3,7,Interior,D,The plastic door trim doesn't survive kids with muddy or dirty shoes which scuff and mark them.,-0.4404
183,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,DOES NOT ALERT YOU OF UPCOMING TURNS ETC. TELLS YOU WHERE TO GO WHEN ITS TOO LATE SO YOU END UP MISSING THE TURN,0.0
184,BMW,X3,3,Heating; Ventilation; and Air Conditioning (HVAC),D,TAKES TOO LONG TO HEAT UP,0.0
185,BMW,X3,3,Interior,D,,0.0
186,BMW,X3,4,Exterior,D,External foot motion detector is difficult to consistently operate successfully.,0.1779
187,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
188,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,Not at all user friendly.  Sequence of steps in entering information is difficult to understand and not intuitive.  This navigation system is inferior to my iPhone navigation map; which I typically resort to using because it is so much easier to operate and provides excellent map guidance. : Navigation system,0.6983
189,BMW,X3,4,Seats,D,Requires manual operation of Driver 1 or Driver 2 buttons; rather than automatically adjusting depending on which key is being carried by the driver. I have been told that there is a way to make it work automatically; but the BMW Genius at the dealership is the only person in the dealership who knows how to program the system to work as I want and expect it to work.,0.1154
190,BMW,X3,2,Heating; Ventilation; and Air Conditioning (HVAC),D,Hard to see heated seat control. Steering wheel is in the way.,-0.1027
191,BMW,X3,2,Interior,D,Too close to dashboard,0.0
192,BMW,X3,6,Exterior,M,: Lower Left Running Light not completely tight.  Inside left door the Styrofoam not completely flush so sometimes when you open the door you get a sweak.,-0.296
193,BMW,X3,6,Exterior,U,Lower Left Running Light not completely tight.  Inside left door the Styrofoam not completely flush so sometimes when you open the door you get a sweak.,-0.296
194,BMW,X3,6,Driving Experience,D,Used to brakes that you don't have to apply excessive pressure. My Mercedes brakes are better then the BMW.,0.1779
195,BMW,X3,6,Driving Experience,D,Very easy to forget to use as so used to manual brake. Wish that the Parking Brake would automatically engage when you put autotransmission into Park and release when put into Gear,0.7294
196,BMW,X3,6,Driving Experience,D,Not enough upward and downward travel.  Should be electric and not manual,0.0
197,BMW,X3,6,Interior,M,Dealer noted and order the wood panel for passenger door and center console.  There were defects in the lamination,-0.4019
198,BMW,X3,5,Driving Experience,D,just that it shows on the wheels and have to clean frequently,0.4019
199,BMW,X3,5,Features/Controls/Displays (FCD),D,cannot see he indicator light without taking eyes off the road and bending head in a funny angle around the steering wheel,0.4404
200,BMW,X3,5,Seats,D,hard to figure out which key the seat programmed to or which one it will recognize when we get in the car,-0.1027
201,BMW,X3,5,Heating; Ventilation; and Air Conditioning (HVAC),D,: Automatic mode does not keep window from fogging up -- have to switch to defrost mode and the fan gets too noisy,0.1531
202,BMW,X3,5,Heating; Ventilation; and Air Conditioning (HVAC),D,: Automatic mode does not keep window from fogging up -- have to switch to defrost mode and the fan gets too noisy,0.1531
203,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
204,BMW,X3,2,Seats,D,,0.0
205,BMW,X3,1,Exterior,D,: The front hood release is hard to find.,-0.1027
206,BMW,X3,1,Features/Controls/Displays (FCD),D,The distinction between turning the signal on temporarily  and permanently  is difficult to gauge.  I find that I often turn on one kind of signal when I intend to use the other.,-0.3612
207,BMW,X3,2,Features/Controls/Displays (FCD),D,I thought the 'adaptive' part would be optional; i.e. you could use it as a conventional cruise control on highways that have cars passing you  thereby triggering the distance feature.  That is not the case.  You have to use the adaptive aspect whether you want to or not.  I will have to take it out on an interstate that isn't too busy and learn how to use the damn thing.  I know many people who never use their cruise controls because the 'adaptive' nature causes you to slow down / speed up / slow down.  I asked the dealer and he said he doesn't use his either!,-0.4003
208,BMW,X3,2,Engine/Transmission,D,Measured MPG is significantly less than advertized MPG.,0.0
209,BMW,X3,1,Audio/Communication/Entertainment/Navigation (ACEN),D,It requires strict command and it doesn't interpret address well. It would be nice to say 'find nearest Starbucks',0.2467
210,BMW,X3,1,Driving Experience,D,Two times during start-up of engine; I partially depressed the accelerator. Not a series problem since the car was not in gear; and I immediately noticed the high RPMs.  Ilearned quickly to avoid the situation.,-0.802
211,BMW,X3,2,Heating; Ventilation; and Air Conditioning (HVAC),D,,0.0
212,BMW,X3,2,Interior,D,It is awkwardly placed so you can not just reach over and pop it open; I have to sit up and turn to reach it.   And then it opens too far and it is very hard to reach to close if you are driving.,-0.4965
213,BMW,X3,3,Exterior,M,: not really a problem; but the doors are so heavy that they do not always stay open and slam shut on thier own.  I was getting into my car and the door slammed shut onto my knee and left a huge bruise that I have had for weeks.  I'm very concerned about my young son getting his little arms or legs closed in a door if it slams shut like that!,0.5899
214,BMW,X3,3,Exterior,M,: not really a problem; but the doors are so heavy that they do not always stay open and slam shut on thier own.  I was getting into my car and the door slammed shut onto my knee and left a huge bruise that I have had for weeks.  I'm very concerned about my young son getting his little arms or legs closed in a door if it slams shut like that!,0.5899
215,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,some stations go silent for a few seconds and then come back on.,0.0
216,BMW,X3,3,Exterior,U,Exterior door handle light on front passenger door is a different color from the other three doors. Waiting on the dealer ordered part.,0.0
217,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),M,Front passenger door had a damaged or defective speaker; sound was horrible. Dealer replaced.,-0.8519
218,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,I have had other cars with voice recognition that performed better; with BMW it seems to be hit or miss if the voice recognition will work.,0.3182
219,BMW,X3,1,Exterior,U,: Headlights were not calibrated to follow as you turned corners,0.0
220,BMW,X3,2,Driving Experience,D,delay in registering position causes confusion : parking brake system is not user friendly: has a delayed reaction so that i can never remember which way you do it; doesn't have a good 'feel',-0.8568
221,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Annoying amount of layers to get information; doesn't remember addresses to necessitation retyping in same thing over and over,-0.4019
222,BMW,X3,6,Exterior,M,The electronic hatch opener will stop half way at times.,-0.296
223,BMW,X3,6,Features/Controls/Displays (FCD),D,took some time to figure out how to get the system to work correctly.  No clear notice on rear wiper as to which way to turn to wash; which way to turn to just use the wipers,0.1027
