,Make,Series,Verbatim,Score
74,BMW,X1,"The ConnectDrive interface to the navigation system is confusing when trying to enter and removed destinations.  Additionally, it is very strict about address format.  Address entries in by Contacts loaded from my phone via the Bluetooth connection are not reliably recognized as addresses, although Google Maps does properly identify them.  The dealer worked with me to identify the issue, but it isn't something they can fix.",-0.1154
75,BMW,X5,"steering wheel appears too loose. very hard to control cars at highway speed, or at windy condition.",-0.4576
76,BMW,X5,Colored control wheels and instructions are difficult to understand and use. Owner's manual not helpful.,-0.5903
77,BMW,X5,"The Cargo Mat sold to me by the dealership is too large for the cargo area. This is odd, as it is a BMW product.",-0.3182
78,BMW,X5,": Within three days of purchase, the check engine light illuminated. I took the vehicle to the nearest BMW dealership. They examined it and told me that the vehicle had not been """"PDI'd"""" by the dealership that sold it to me. This resulted in a """"high voltage cooling system failure"""". The vehicle remained at the shop for five days. I contacted the selling dealership about this, but they have just ignored me. The wife and I had to cancel a road trip because of this. I do not know what the long term effects on the vehicle will be.",-0.6652
79,BMW,X5,"Phone in Apple Car play has very bad """"interference"""" """"crackling"""" nearly can't use the phone without annoyance.",-0.1106
80,BMW,X5,just seems loud at max air,0.0
81,BMW,X5,"Air shuts off when motor shuts down- can't sit and """"idle"""" as the motor will shut down, electric motor doesn't stay on, so can't really sit in the car for very long idling without cooking passengers inside",0.0
82,BMW,X5,"On all BMWs, when I touch the blinker to change lanes, it continues to blink after I change, and I have to push the knob the other direction to turn it off, and sometimes it does not turn off, or it will blink in the other direction.  On other cars, when I use the turn signal to change lanes, it automatically turns off after I change lanes.",0.0
83,BMW,X3,Touch lock and keyless entry had never worked.,0.0
84,BMW,4 Series,One scratch on rim about a inch long,0.0
85,BMW,4 Series,"drivers side mirror had scratch on carbon fiber about two inches long. By the time papers were signed, it was night time.",0.0
86,BMW,4 Series,: The windshield has a sand-blast effect.  It may not have been well protected/shielded in transport.  The effect is on of small star bursts on the windshield. This did not occur on my previous car until it was old.,-0.2057
87,BMW,4 Series,Sensor in a difficult to access location,-0.3612
88,BMW,4 Series,"Too easy to activate the signal in the opposite direction when turning off. Design flaw, not malfunction",0.4404
89,BMW,4 Series,"Only pipe seemed to emit anything, it has since corrected itself?",0.0
90,BMW,4 Series,Don't think this is a problem but is related more to M4 suspension and tires.,-0.2144
91,BMW,4 Series,I took the car back two weeks after purchasing for a detailing.  I noticed the scratch a few days after.,0.0
92,BMW,X5,run flat tires degrade overall performance of vehicle.  We removed tires at time of delivery and replaced with NON run flat tires,-0.4404
93,BMW,X5,: when multiple bluetooth devices are synced and present to iDrive system in vehicle often times will stop functioning,-0.296
94,BMW,X5,The interior lights did not turn on when you open the door.,0.0
95,BMW,X5,The triangle is small and shall be on the mirror.,0.0
96,BMW,X5,Shaking  and vibrating too much and too often even when one  is just slightly off course. Not like the shaking of the steering wheel,0.0258
97,BMW,X5,Never know whether the car is too close to the car in front or whether the car will automatically break to stop if it is too close to the car in front.,-0.296
98,BMW,X5,"The navigation system could not be turned on. Nothing on screen and no radio. All controls for the navigation and radio also did not work. After stopped and restarted the engine, it was back to normal. It happens just once, about 2 months after delivery.",-0.1366
99,BMW,4 Series,There is no numeric display next to the tire. All I see is a colored light.,-0.296
100,BMW,4 Series,I think this is user error. I've tried a few times. Just can't get it to work.,-0.4019
101,BMW,4 Series,"When I have the auto mode set, the fan should automatically go to the highest speed and then automatically slow as the desired temperature is reached, period. There shouldn't be multiple fan user adjustment speeds in the auto mode. If i have to adjust sppe  then that's not auto to me.",0.7269
102,BMW,4 Series,":  There is a small panel that goes over the tow bar in the rear of the car.  The panel was not secured and fell off a couple of weeks after I took possession of the vehicle, leaving a open hole.    I am also not happy with the plastic front bumper.  The bumper was resting against a shelving unit in our garage and there is now a indentation in the plastic bumper that won't go away.  According to the dealer, it will cost to $450 fix it !",-0.6755
103,BMW,4 Series,Does not appear to register lane departure at times.  Maybe I am missing something.  Need to talk with the dealer.,-0.296
104,BMW,4 Series,: A passenger restraint system malfunction warning came on for several days.  Seemed to resolve itself before I got the car back to the dealer.,0.0516
105,BMW,4 Series,": I have an ipod connected to the car. When trying to switch from album to another album, it constantly stalls and replays a song over and over and i have to cut the radio system off and then start again.",-0.2732
106,BMW,4 Series,You have to leave the center console open in order to use the ports.,-0.0516
107,BMW,X4,Brakes sometimes squeaked when I was reversing and it was very cold outside.,0.0
108,BMW,X4,Navigation is slow with turn by turn directions and to tell you the side of the street your location is.,0.0
109,BMW,2 Series,"loose steering at comfort mode, and tighter steering at sport mode",0.0516
110,BMW,3 Series,Tire has a slow leak and does not maintained pressure,-0.1311
111,BMW,3 Series,The AC and Audi buttons seen to be reversed for where they should be,0.0
112,BMW,3 Series,The AC controls and music controls are mixed : The passages side AC button has a 3 position airflow but the system only allows 2 positions,0.0
113,BMW,3 Series,I have had the hand brake issue mostly when the car is in the drive gear no gas pedal used and I feel the car move. But when I place the car in Park and use the hand brake it will not move. The first situation happens when I think it is in park but it is not and I use the hand brake it will still want to move forward or backward depending if I am on a flat surface or backing out down the driveway.,0.8176
114,BMW,3 Series,: being able to lift the windshield wipers in order to clean the windshield. This feature is not easy and has caused me to inadvertly scrape the paint off the inside of hood.,0.0757
115,BMW,3 Series,using my smart phone in the car through bluetooth will often say phone not connected. It will show my phone but wants me to manually continue to connect it. I leave my iPod classic connected to the usb port and don't know if it is causing the clash between multiple devices trying to communicate to the car-such as iPhone and iPod.,0.1406
116,BMW,3 Series,: the small storage space below the steering wheel did not close all the way and it bruised my right leg getting in last week.,0.0
117,BMW,3 Series,"Looks like glue of some sort along the edge of the hood; I haven't yet tried to remove it, but it MIGHT come off with """"bug cleaner"""".",0.1901
118,BMW,3 Series,"In damp weather, the driver's side windshield seems to fog up and I have to turn on the defroster to clear it.   After a bit, it happens again.",0.3818
119,BMW,3 Series,"It's the same with all electronic steering, just isn't the same feel as hydraulic.",0.0
120,BMW,3 Series,The edge of the sunglasses case is sharp and I cut my leg while getting in.,-0.2732
121,BMW,3 Series,I can't discern a pattern to this problem. Sometimes it wont connect and other times it drops connections. It seems to help when I turn blue tooth off on my phone and then reset.,-0.1091
122,BMW,3 Series,I have found several areas on the car where the glue from the protective plastic shipping coating was not removed and attracts dirt.,-0.5659
123,BMW,3 Series,"I assume what I am smelling is the """"new"""" leather...while mildly unpleasant, the odor has not risen to the level of requiring dealer attention.",-0.4767
124,BMW,3 Series,Uneven paint spray under trunk near trunk handle. Primer can still be seen in edges. Paint also has excessive orange peel look.,0.0
125,BMW,3 Series,"Headlights have poor lighting past 100ft, lights seemed to be aimed too low",-0.6369
126,BMW,3 Series,Unable to play music from phone or unable to connect with BMW Connected App,0.34
127,BMW,3 Series,The trunk has a hands-free opening mechanism where you use your foot to open the trunk.  This is very difficult to get to work.  Sometimes it works first try and sometimes not at all after multiple tries.,-0.4201
128,BMW,3 Series,I first noticed the problem at freeway speeds when the passenger seat is not occupied.  The seat vibrates visibly and makes a rattling or shaking noise,-0.4939
129,BMW,3 Series,"When compared to the 2014 328i I drove for three years, this SULEV car sometimes has a deadzone in the acceleration process where I step on the accelerator and there is an approximate 1-2 second delayed response.  So much so that I have almost had the pedal to the floor before it starts to accelerate.  It is the most disappointing aspect of this car because with previous BMW 328i  the response was always instantaneous.",-0.659
130,BMW,3 Series,"In sport mode after accelerating, it sometimes gets stuck and hesitates to downshift when it is supposed to - almost goes to a neutral rev",-0.5267
131,BMW,3 Series,The fan speed control button makes an odd click when pressed.,0.0
132,BMW,3 Series,The control button to increase the airflow 'feels' odd and makes a strange clicking sound when pressed.,-0.2023
133,BMW,3 Series,: I have been unable to load my telephone contacts to the car's system,0.0
134,BMW,6 Series,"Matts are 'sticky' on top side of driver and passenger side, collect dirt easily and looks worn after only two months",-0.1027
135,BMW,X1,"At times will drop calls as I'm driving . Has nothing to do with cell service but rather Bluetooth will turn off or suddenly can't be found therefore dropping my call and making it difficult and distracting as I'm driving to figure out what's wrong. At  other times when I try to make a phone call I can not hear anything but I see that my phone call is going through when I look at my cell - other times people may call me but I am unable to hear them. Another Bluetooth issue??   This doesn't happen all the time, just randomly. Doesn't matter if I'm driving, parked or stopped at a light.",-0.927
136,BMW,3 Series,"About 1 month post delivery, i realized that the dealership did not remove adhesive from letters that were on the back of the car. I assume these were letters from the previous dealership - I can almost read them.",0.0
137,BMW,3 Series,MY moon roof exploded while driving,0.0
138,BMW,3 Series,phone mic doesnt always pick up my voice. i have to tilt my head upward toward speaker thing to speak on the phone,0.0
139,BMW,3 Series,"Its in the center consul.  when i put the wire in to connect and shut the consul top repeatedly, it ruins the wire.",-0.2732
140,BMW,3 Series,i could not even think to try to use this function if windows were cracked or open.  its bad either idle or moving.,-0.5423
141,BMW,3 Series,see previous notes,0.0
142,BMW,3 Series,i expect better for what i paid,0.4404
143,BMW,3 Series,"please refer to my previous comment. Glass exploded udring driving. Upon return of my car post service, i realized they did not vaccuum all the glass out of the tracks. also, i now hear glass ships rattle while driving.",0.3182
144,BMW,3 Series,i got better mileage on my 2014 then on my 2017 diesel,0.4404
145,BMW,3 Series,RPMs stay high when going down hill. does not shift properly,0.0
146,BMW,3 Series,"It is by design that they are too close together, not by manufacturer defect.",0.2584
147,BMW,3 Series,"It is only sometimes. Usually restarting my phone fixes it, but the other day, my phone connected to CarPlay, but the display screen froze even after restarting my phone.",0.0
148,BMW,3 Series,": Center console has a wireless charging option for a cell phone. Unfortunately my new Samsung S7 will not fit in the cradle, so I'm unable to use this feature.  No repair available from dealer.",-0.6917
149,MINI,Cooper,Tires are poor quality. I had a puncture from a very small object that pierced the tread quite easily.,-0.1045
150,MINI,Cooper,: Text to voice or display of text will not pair with my Apple iPhone 6s,0.0
151,MINI,Cooper,voice recognition is only accurate when using my phone as the backend...the built in is utterly useless...,0.0
152,MINI,Cooper,"bluetooth sometimes doesnt connect, when skipping tracks or searching the lag is unbearable",-0.34
153,MINI,Cooper,"Maps are constantly poor, no way to use google maps or waze instead",-0.6486
154,MINI,Cooper,"the route it takes me is often inconvenient or longer than a google map/waze route, and there is no way to fix or use my phone for data",-0.5574
155,MINI,Cooper,"cosmetic problems only, can be easily fixed with a wash or detailing job",-0.0772
156,MINI,Cooper,The water leaks into the car at the car wash.  It happens at the front pillars where the roof posts meet the top of the pillar.    The dealer said that this is a normal occurrence.,0.2023
157,MINI,Cooper,The high beams do not seem to light up the road as well as the low beams.,0.0
158,MINI,Cooper,"First few times brakes are used when starting out, they make noise when applied.  It occurs when leaving the driveway & stopping at the first stop sign .  Then I park the car at work for 12-16 hours and it will occur again, at times.",-0.4215
159,MINI,Cooper,"It is positioned rather low and the only little gathering place for change, chapstick, or my phone is in the same place. when you have a 3 ft aux cord, cannot place the phone near you too easily.",0.0772
160,MINI,Cooper,"Inside the glove box is the manual, 1 pair of sunglasses, 1 hair brush and a truck driver style Bluetooth.  My passenger needs to turn knees sideways, so that I may open it.  Upon opening, the hair brush and Bluetooth always slide out.  It is not large enough to include the following items (that were also in my old glove box: 1 bottle of Motrin, 4 fold-up maps of other states, cell cigarette charger, and garmin.",0.0
161,MINI,Cooper,"The area inside the console is not wide enough for my employee name badges, house keys, small flashlight and mace. It isn't very long and it keeps moving up when the parking break is pulled.",0.0
162,MINI,Clubman,I alerted the dealer to the problem.  He promised to call me to fix it.  He did not.  I called him and sent pictures.  No response.,-0.34
163,MINI,Cooper,Not a big deal. It doesn't happen every time; only occasionally. Very faint.,0.0
164,MINI,Cooper,squeak/rattle noise when convertible roof is closed or sunroof is open,0.0
165,MINI,Cooper,"Always had a problem with Siri recognising specific instructions, commands.  Same with this system.  Told that it would 'learn', but I am sceptical.",-0.5647
166,MINI,Cooper,Never been able to use properly,0.0
167,MINI,Cooper,The belt gets twisted in the guide on the pillar post,0.0
168,MINI,Clubman,Just noticed with the recent rain I have been having that sometime I am not sure lights are on. I know they are because interior lights are on but just doesn't seem bright enough,-0.5559
169,MINI,Clubman,I feel I am always making the volume higher. The many menus to  save a station are at first confusing until you play with it for a bit. But most times you are driving when you are working things out so just a few too many steps but I know it's because there is so much offered and so many options.,0.3291
170,MINI,Clubman,The design in the seat which are small holes are tough to get clean if food gets stuck in them,0.0516
171,MINI,Clubman,"When you get in the car, if you don't pick up your feet and they hit the door sills they marked,scratched and the scratch is permanent.",0.0
172,MINI,Clubman,The problem is related to the sensor under the car to open the rear cargo doors. Difficult to get the sensor to activate. Several times we've not had any success. Very nice idea but doesn't appear to work well.,0.0252
173,MINI,Clubman,"The center console holders are difficult to use with insulated mugs, due to the close proximity of each holder it won't allow the use of the second holder. The holder in each door panel is not deep enough to be used.",-0.4881
174,MINI,Clubman,With dress shoes - mens - it is too close,0.0
175,MINI,Clubman,I don't like to slam my doors so I use enough force to close them. All doors close just fine except the front driver door. The same amount of force leaves door half open/closed. Too often I need to reopen and close again using more force.,0.2201
176,MINI,Clubman,Brakes don't have enough stopping power,0.1139
177,MINI,Clubman,same as topic reason,0.0
178,MINI,Clubman,: The AC is not very forceful,0.0
179,MINI,Clubman,same as topic reason,0.0
180,BMW,i3,"Poorly designed back doors. Must first open front doors to let someone in and out from back and if there is an existing passenger in the front, they have to unbuckle first. Back doors must close first before front ones can.",0.0
181,BMW,i3,"It doesn't seem to have """"normal"""" brakes, since with the i3 braking is almost never needed if space is maintained and one removes foot off pedal. However, when reacting to other drivers, sometimes braking is necessary, and the grinding noise is heard then.",0.0
182,BMW,i3,: Any use of heater or defogger significantly lowers the overall battery range of miles available!!,-0.2695
183,BMW,i3,"I don't love that the low beam headlights are blue to begin with, but the high beam headlights are just too wimpy on a dark road.",-0.6229
184,BMW,i3,"I just use my iPhone, because it's so much simpler, but i expected to see the nav screen coupled with the iPhone. Nope",0.0
185,BMW,i3,"Since it is an electric, it seems to run thru a cycle, then stops blowing/defrosting if I'm out shoveling the driveway. I have to go over and turn the system back on and restart the process. I believe that if I leave the key fob in the car it alleviates the problem, but not sure. been a while.",-0.5709
186,BMW,6 Series,"In curves and turns, the vehicle is a bit back-end heavy and wants to oversteer. The turning is controllable yet takes some getting used to.",0.0
187,BMW,6 Series,The interior switch was responsive less than 50% of the time. The key fob button did operation the convertible top yet required disengaging the engine to operate from the key fob. The issue was resolved in the second service appointment for the same issue.,0.6124
188,BMW,X4,Parking sensors went offline and had to be reprogrammed,-0.128
189,BMW,X4,": Navigation system has rebooted a few times unprompted, but has come back online immediately.",0.0
190,BMW,i3,Nail caused the tire to require replacement.,0.0
191,BMW,i3,"Door sensor didn't detect closure sensor, fixed by BMW dealership.",0.0
192,BMW,i3,": Tire pressure sensor indicated low pressure, but upon checking pressure was okay",-0.4939
193,BMW,i3,I listen to books on my iPhone and the Bluetooth connection disconnects at times without warning.,0.2584
194,BMW,3 Series,"When I leave everyday for work, I have several bags/briefcases over my right shoulder & key in my bag.  The driver's lock automatically opens w touch, but then I have to lean in all the way to center of console to open back door to put my bags in.  I often can't reach b/c of shoulder bags, have to put them on ground just to reach to  unlock back door, then put on back seat.  I went into auto-manual & tried to re-program lock control, but couldn't. Would prefer ALL doors unlock when open w keyless.",-0.0829
195,BMW,3 Series,"Minimal warmth. Always turning off & on to see if it says activated or deactivated.  Previous BMW had much better warmth. ,I was really happy this car had this option.) Can this be made warmer??",0.9377
196,BMW,3 Series,": Really don't know if this is a problem, b/c I only tried once, but Nav system indicated I could 'speak' the address I needed, but that did not work.  I meant to try it again, or look in to it, but have not.",-0.2144
197,BMW,6 Series,"very heavy, alot heavier than the 650 sedan trunk of our other car.",0.0
198,BMW,6 Series,A soft top convertible is noisier than a hard top.,0.296
199,BMW,X1,sound proofing not very effective,-0.4158
200,BMW,X1,": The plastic piece that removes to reveal the manual key hole on the drivers door has always been lose. I push it back into place every other day, hopefully it can be adjust next time I visit the dealer. ;-)",0.25
201,BMW,X1,"Every time the car is in reverse, the side mirrors tilt down for curb view. The passenger side returns to normal, but I cannot figure out how to get the driver side to return the memory 1 position without manually adjusting it by the 4-way control.",0.0
202,BMW,X1,System voice  isn't very clear.,-0.3401
203,BMW,X1,Cumbersome to enter addresses. Also wish I could select a different voice.,0.4019
204,BMW,X1,Hard to reach without lifting the center armrest.,-0.0772
205,BMW,X1,"Light colored seats, need cleaning almost weekly.",0.0
206,BMW,X3,I have several BMW's and I always have a hard time figuring out the wiper washer controls,-0.1027
207,BMW,X3,Difficult to manuever,-0.3612
208,BMW,X3,Clunky interface when trying to set radio stations.,0.0
209,BMW,X3,Takes forever to enter an address.  I use my iPhone instead.,0.0
210,BMW,X3,"Chemical smell from the faux leather seats, worst when parked in the sun.  Slowly going away after 3 months.",-0.6249
211,BMW,X3,hard to describe but closest I could provide is that it smelled like a stale meat,0.4678
212,BMW,X3,My dealership open up a case with BMW engineering to see if they could correct the problem. THey ordered a new antenna and waiting to replace.  The problem only occurs when I'm on my bluetooth using my phone. Constant static. I have an iphone and we tried with samsung. I also have ATT and we tried with Verizon. It appears to be an issue with apple play.The problem is with the car. I also sometimes have issues when trying to use spotify in that it doesn't pair.  I had worse pairing issues with my 2014 BMW 335i. I was told then that the problem was with Apple not updating their IOS with BMW but I'm in technology and don't buy it. THere is something seriously wrong with how the bluetooth operates in BMW.  At two different dealerships I was told that they have never had a complaint with the bluetooth.,-0.8172
213,BMW,X3,Please see previous comment,0.3182
214,BMW,X3,Got a letter from BMW stating there was a recall - taking it for repair after Easter because I need a loaner car,0.0
215,BMW,X3,I was noticing that my MPG is NOT EVEN CLOSE to advertised and now it goes from 8 MPG to 99 MPG every few seconds. Taking it in for a recall  and service after Easter.,0.0
216,BMW,X3,: The start stop works every so often without warning - i plan on asking about this when I take it in for service.,0.0257
217,BMW,X5,"Difficult to get one-push exterior release to auto open trunk, usually end up opening 1/3 of the way when the trunk release is pushed.",-0.3612
218,BMW,3 Series,"WHEN CAR IS PARKED AT NIGHT, AND ITS COLD OUTSIDE, THE WINDOWS ENDS UP FOGGED AND IT TAKES SOME TIME BEFORE THIS CLEARS UP ESPECIALLY IN THE REAR WINDSHIELD.",0.0772
219,BMW,3 Series,Having issues with phone call connectivity...sometimes the connection is static or has a buzzing/scratching noise .,0.0
220,BMW,3 Series,Traffic doesnt work,0.0
221,BMW,3 Series,had a flat tire within 24 hours of receiving the car.,0.0
222,BMW,3 Series,Sounds like the inside is creaking; like twisted metal,0.6124
223,BMW,4 Series,Hit both,0.0
224,BMW,4 Series,Hard to understand what the button does,-0.1027
225,BMW,4 Series,Believe it is due to the run flat low profile tires.,-0.2732
226,BMW,4 Series,Some times they do not work.  Oftentimes it's when I use my turn indicator to change lanes,0.0
227,BMW,4 Series,I say an address in California and it sends me to Canada or New York.,0.0
228,BMW,4 Series,Mainly when the AC is on driving on hwy,0.0
229,BMW,2 Series,dust or dirt appears to be under clear coat.  Surprisingly for factory paint.,0.34
