,Make,Series,Total_Problems,Category,Mode,Verbatim,Score
25,Mercedes-Benz,SLC,1,Interior,M,"The area marked side airbags on the rear edge of the door rattles on both doors of the car.  The problem is worse when itâ€™s cold outside but still present when itâ€™s warm, and happens when going over bumpy/rough roads, when the audio system is on or off.  Songs with loud bass also make the panel rattle in the same location, but I have to emphasize the rattle is still present with the audio system turned off.",-0.1406
26,Mercedes-Benz,E-Class,1,Engine/Transmission,D,"SOMETIMES when decelerating to a stop, transmission SOMETIMES downshifts roughly.",-0.296
27,Mercedes-Benz,C-Class,3,Features/Controls/Displays (FCD),M,,0.0
28,Mercedes-Benz,C-Class,3,Features/Controls/Displays (FCD),D,We paid for it then after the tells we have to pay monthly to use it,-0.1027
29,Mercedes-Benz,C-Class,3,Interior,M,1st time used it the cover fell off,0.0
30,Mercedes-Benz,SLC,2,Seats,D,Poor location,-0.4767
31,Mercedes-Benz,SLC,2,Seats,D,Controls should be on the bottom of the seat not on the door.    Re,0.0
32,Mercedes-Benz,Metris,1,Driving Experience,D,"When wearing work boots, it is easy to have your foot on both pedals at one time.",0.4404
33,Mercedes-Benz,GLE,7,Features/Controls/Displays (FCD),D,hard to find,-0.1027
34,Mercedes-Benz,GLE,7,Features/Controls/Displays (FCD),D,,0.0
35,Mercedes-Benz,GLE,7,Features/Controls/Displays (FCD),D,spent 2 hours learning about computer. can't remember everything.,0.0
36,Mercedes-Benz,GLE,7,Features/Controls/Displays (FCD),D,too many steps,0.0
37,Mercedes-Benz,GLE,7,Interior,D,rear floor mat missing snap attach fittings.,-0.296
38,Mercedes-Benz,GLE,7,Engine/Transmission,M,Don't want it! No way to turn off option.,0.2401
39,Mercedes-Benz,GLE,7,Engine/Transmission,M,'this model is noisier',0.0
40,Mercedes-Benz,GLA,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
41,Mercedes-Benz,GLA,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
42,Mercedes-Benz,CLA,1,Audio/Communication/Entertainment/Navigation (ACEN),M,"Only certain songs does it seem to sound like the trebble or base in the speaker mught be slightly off. I keep the trebble and bass equal volumes, but sometimes it sounds scratchy.",0.3182
43,Mercedes-Benz,G-Class,3,Exterior,U,": THE BACK BUMPER COLLECTS DIRT CONSTANTLY FROM THE BACK TIRES, THERE IS NO COVER, LOOKS HORRIBLE, EVER RIGHT AFTER CAR WASH, REALLY A STUPID DESIGN THAT SHOULD HAVE BEEN EASILY FIXEDALSO RECEIVED MESSAGE TO REMOVE EXCESS OIL",-0.8553
44,Mercedes-Benz,G-Class,3,Features/Controls/Displays (FCD),M,": THERE IS AN UNEVEN GAP IN THE INTERIOR OF THE SUNROOF, LOOKS CROOKED WHEN CLOSED, DEALER COULD NOT ADJUST PROPERLY",0.0
45,Mercedes-Benz,G-Class,3,Engine/Transmission,U,"MESSAGE LIGHT CAME ON TO REMOVE EXCESS OIL. TOOK TO DEALER, THEY SAID TOO OIL WAS PUT IN THE CAR FROM THE FACTORY, CAN'T BELIEVE THEY EVEN TOLD ME THAT ON A 135K TRUCK THAT I BOUGHT, A FACTORY MISTAKE OF PUTTING TOO MUCH OIL IN A CAR, TALK ABOUT AMATEUR HOUE",-0.34
46,Mercedes-Benz,GLC,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Not as user friendly as other Nav systems.  Hard to figure out storing/saving an address in the vehicle address book.,0.4215
47,Mercedes-Benz,GLC,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Stereo loose connection on every bridge I cross,-0.3182
48,Mercedes-Benz,GLC,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Do know recognize street names,0.0
49,Mercedes-Benz,E-Class,4,Exterior,M,Resolved,0.1779
50,Mercedes-Benz,E-Class,4,Exterior,D,,0.0
51,Mercedes-Benz,E-Class,4,Driving Experience,D,Difficult to findDifficult for me to useMen have no problem opening,-0.7506
52,Mercedes-Benz,E-Class,4,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
53,Mercedes-Benz,GLS,2,Exterior,D,In the snowy weather the running boards often cause slipping,0.0
54,Mercedes-Benz,GLS,2,Audio/Communication/Entertainment/Navigation (ACEN),D,: When I send my driving directions 2 benz I have trouble finding it when I go to the vehicle if I am using it at a later time,-0.4019
55,Mercedes-Benz,GLC,2,Features/Controls/Displays (FCD),D,I donâ€™t even know where the light or indicator is. Might be in he manual which I will someday read,0.0
56,Mercedes-Benz,GLC,2,Features/Controls/Displays (FCD),D,I have yet to use them because Iâ€™m not exactly sure where they are and how they work,-0.2411
57,Mercedes-Benz,E-Class,2,Audio/Communication/Entertainment/Navigation (ACEN),D,MB changed the navigational system from the 2016 model I was used to. I have been to seek instruction three times and find it easier to use my cell phone. I don't find the location in a 'poor' location.,0.4215
58,Mercedes-Benz,E-Class,2,Engine/Transmission,M,"I was visiting the drive up teller at the bank. I put the car, which was running, into drive. The car stopped running and I couldn't get the car started. It took awhile before I was able to start the car. Never happened again.",-0.2263
59,Mercedes-Benz,GLE,1,Audio/Communication/Entertainment/Navigation (ACEN),D,The navigation system is not at all easy to learn.  I really liked the navigation in my Ford Edge and Ford Escape.  It was so easy to enter an address and keep it as a favorite.I wish Mercedes would hold classes on how to use the navigation.  Everyone I've talked to says they don't use the car navigation; they use their cell phones.  What a shame,-0.1076
60,Mercedes-Benz,SLC,1,Audio/Communication/Entertainment/Navigation (ACEN),M,: The audio 'issue' is design related rather than a functional defect or 'repair' issue.  All speakers are in front with only a single center rear logic 7 'fill' speaker that has no control to adjust volume or balance.  Consequently there is no ability for surround sound and overall sound quality and 'depth' is diminished accordingly.,-0.5423
61,Mercedes-Benz,E-Class,3,Exterior,M,would like to ave the door stops adjusted.,0.2263
62,Mercedes-Benz,E-Class,3,Exterior,D,Road noise is excessive for this car. Thought it would be much quieter.,0.0
63,Mercedes-Benz,E-Class,3,Features/Controls/Displays (FCD),D,"I am 5'6' I find the seat too lowl at maximum. Side view mirror too big, Tough to see people crossing  street. Did not experience this in my previous car 2015 350E,",-0.128
64,Mercedes-Benz,GLE,5,Features/Controls/Displays (FCD),D,I still have not located the button for the rear wiper.,0.0
65,Mercedes-Benz,GLE,5,Features/Controls/Displays (FCD),D,Very difficult to see the buttons and the icons are confusing.,-0.5709
66,Mercedes-Benz,GLE,5,Features/Controls/Displays (FCD),D,Again -- too dark to see against the black headlines.,0.0
67,Mercedes-Benz,GLE,5,Audio/Communication/Entertainment/Navigation (ACEN),D,I need more 'training' in how to use the system.,0.0
68,Mercedes-Benz,GLE,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,VERY NOISY at Max cool.,-0.2867
69,Mercedes-Benz,E-Class,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
70,Mercedes-Benz,E-Class,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
71,Mercedes-Benz,E-Class,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
72,Mercedes-Benz,C-Class,1,Audio/Communication/Entertainment/Navigation (ACEN),M,,0.0
73,Mercedes-Benz,C-Class,1,Seats,M,Seems to be on the right side of seat when I sit down.,0.0
74,Mercedes-Benz,E-Class,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
75,Mercedes-Benz,E-Class,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
76,Mercedes-Benz,AMG GT,2,Features/Controls/Displays (FCD),M,": Passenger sun visor vanity light is not working.   I hardly ever drive with a passenger, so it took awhile to notice.",-0.2263
77,Mercedes-Benz,AMG GT,2,Engine/Transmission,M,They think it might have been a fuel injector.  Was replaced free of charge.,0.5106
78,Mercedes-Benz,E-Class,1,Audio/Communication/Entertainment/Navigation (ACEN),D,My Samsung Galaxy spodify music information often does not show up on car screen.,0.0
79,Mercedes-Benz,C-Class,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"It got lost going to friends at 6360 Ascot Drive, Oakland, CA 94611",0.2023
80,Mercedes-Benz,C-Class,2,Interior,M,: It arrived with spots on the windshield that I could not remove with glass clearer. The dealer was able to get the windshield clean.,0.4019
81,Mercedes-Benz,GLC,1,Interior,M,"The squeak noise is coming from the trunk area, it seems maybe one of the panel doesnâ€™t fit well to cause the noise.",0.5574
82,Mercedes-Benz,GLA,1,Seats,D,Headrests do not slide all the way down.  There is almost two inches of the metal bar exposed when headrest is recessed as far down as it will go.  This is not a repair issue - it is the way this model us built...,-0.0772
83,Mercedes-Benz,AMG GT,3,Exterior,M,Fuel door does not fit opening well. binds on back edge.,-0.4449
84,Mercedes-Benz,AMG GT,3,Features/Controls/Displays (FCD),D,Car has very little ground clearance and sensors do not accurately detect packing blocks in front of car when pulling inot parking space and allow front of car to hit parking block. sensors are not aimed low enough.,-0.27
85,Mercedes-Benz,AMG GT,3,Seats,D,Too far behind and buckle retracts back thru retainer loop on side of seat and will not pull back out without exiting the car to feed it back thru the loop.,0.0
86,Mercedes-Benz,GLE,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
87,Mercedes-Benz,GLE,3,Seats,D,power seats and the headrests should be power too like in the sedan,0.3612
88,Mercedes-Benz,GLE,3,Seats,D,,0.0
89,Mercedes-Benz,GLC,2,Seats,D,I had to get the dealership to show me how to get the memory seat locations to work.  I could not figure it out with the manual.,0.0
90,Mercedes-Benz,GLC,2,Interior,D,"Frankly, the cup holders in the armrest of the backseat are cheap and small.  There are also cup holders in the back doors, but they are angled and it makes it hard to put containers in them that are not sealed.",-0.1531
91,Mercedes-Benz,SL,2,Exterior,M,Just seems excessive,0.0
92,Mercedes-Benz,SL,2,Driving Experience,D,It is intermittent,0.0
93,Mercedes-Benz,GLE,1,Features/Controls/Displays (FCD),D,cant see the wiper stick from normal driver seating position.,0.0
94,Mercedes-Benz,GLS,10,Exterior,M,"Salesman took me for a 'instructional' drive of the vehicle upon signing paperwork, and insisted on driving and 'showing off'.  Ended up backing into a parked car while showing me the self park feature!  Claimed he didn't hit anything, but my husband was in the car too and felt the jolt.   Took back to the dealer and left it while the body shop tech smoothed out some scatches.",0.088
95,Mercedes-Benz,GLS,10,Exterior,M,: Noticed a splashing spray on body of car behind both front wheel wells after running through the carwash.  Don't know if it was overspray from the tire shine or not but won't go away.,0.128
96,Mercedes-Benz,GLS,10,Exterior,D,"Useful when entering the vehicle, but too narrow, slippery and foot slips off easily upon exiting.",0.6187
97,Mercedes-Benz,GLS,10,Features/Controls/Displays (FCD),U,Sensors are very tempermental in inclement weather.  Whistles and bells distract and hamper driving. : sensors go crazy in inclement weather when get covered with snow or ice and are distracting.,-0.7003
98,Mercedes-Benz,GLS,10,Audio/Communication/Entertainment/Navigation (ACEN),D,Doesn't understand my voice most of the time.,0.0
99,Mercedes-Benz,GLS,10,Audio/Communication/Entertainment/Navigation (ACEN),D,Don't like the mouse.  Prefer touch screen,-0.2755
100,Mercedes-Benz,GLS,10,Seats,D,Prefer to have along the side of the seat.,0.0
101,Mercedes-Benz,GLS,10,Seats,D,To restore the seats to sitting position is a manual operation and somewhat difficult to do.  Need two hands and some strength.  These should be power operated as well.,0.6478
102,Mercedes-Benz,GLS,10,Seats,D,": Seat heater gets too hot at times and there is no high, medium or low setting.",-0.5106
103,Mercedes-Benz,GLS,10,Seats,D,Should restore seat with a single push of the memory button.  Have to hold the button the entire time the seat goes back to memory or the adjustment will stop.,0.0
104,Mercedes-Benz,CLA,5,Exterior,M,,0.0
105,Mercedes-Benz,CLA,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
106,Mercedes-Benz,CLA,5,Audio/Communication/Entertainment/Navigation (ACEN),D,: low volume,-0.2732
107,Mercedes-Benz,CLA,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
108,Mercedes-Benz,CLA,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
109,Mercedes-Benz,C-Class,7,Exterior,M,As I mentioned there is no latch or button on the trunk lid to open it. It would be nice if they had the kick feature less expensive cars have to open the trunk. I have to have the keys in my hand and look for the correct button to push to open it. Very difficult with you hands full trying to put something in the trunk. : Asked if there was a latch/button on the trunk and they told me I either had to use the button inside by drivers door or the key fob.  I commented on that not being convinent but what could they do other than tell mfg.,0.1289
110,Mercedes-Benz,C-Class,7,Exterior,D,No handle/latch/release to operate at the trunk,-0.296
111,Mercedes-Benz,C-Class,7,Interior,D,"All other vehicles I owned you could open the truck with a button near the rear trunk lid. This car you have to use the key button to open it. So, if you have your hands full and don't have the keys out of your pocket it's not easy to open. Also, small trunk and even when you put the rear seats down the opening is small so not much can fit through the opening. Wish I could fit a golf bag in the trunk.",-0.4453
112,Mercedes-Benz,C-Class,7,Interior,D,"It has two doors that open, why not one and not deep enough.",0.0
113,Mercedes-Benz,C-Class,7,Interior,D,"can't put much in it other than manual and vehicle documents. : Mainly, not much room",0.0
114,Mercedes-Benz,C-Class,7,Interior,D,"can only put sunglasses in it and only a certain way. Own less expensive cars with better features : Mainly, not much room",0.6124
115,Mercedes-Benz,C-Class,7,Engine/Transmission,M,": The shifter  are on the steering  column.  To put the car in park you must push the button on the shifter lever. So, when you stop, the engine shuts off, you push the park button to go in park and then the engine restarts  and you have to push the engine shut off button. Not well engineered",-0.0935
116,Mercedes-Benz,S-Class,1,Interior,U,The air freshener does not work,0.0
117,Mercedes-Benz,GLE,1,Interior,D,Difficult to access for both front seatsâ€” for the large insulated Yeti cups.,-0.3612
118,Mercedes-Benz,CLS,1,Features/Controls/Displays (FCD),D,,0.0
119,Mercedes-Benz,E-Class,1,Audio/Communication/Entertainment/Navigation (ACEN),U,Mercedes execution of Apple CarPlay isn't very good.  Extremely long delay between start and software activation.  GM products start immediately.,-0.6371
120,Mercedes-Benz,S-Class,3,Features/Controls/Displays (FCD),M,right rear window would not go down : rear window would not roll down.  Computer was out of sync with window.  I am not sure what my family did to confuse the winndow switch.  I found out when installing window tint for my medical condition.,-0.4333
121,Mercedes-Benz,S-Class,3,Features/Controls/Displays (FCD),D,turn on crusie control was a two step process.  understand the symbol when it on ready to set the speed was not intutive,0.3612
122,Mercedes-Benz,S-Class,3,Features/Controls/Displays (FCD),D,Understanding the car needs to pass the parking face.  I want selfparking to realize there is a space ahead. : I was not able to get the parking symbol while the car was searching for a parking space. understanding why the car took evasive speed reduction when pass a school zone at night.,0.0772
123,Mercedes-Benz,GLE,2,Audio/Communication/Entertainment/Navigation (ACEN),D,i have new phone and no one at MBZ has been able to pair it with vehicle  very annoying update your system to recognize new phones more often,-0.6361
124,Mercedes-Benz,GLE,2,Audio/Communication/Entertainment/Navigation (ACEN),D,: phone connectvity,0.0
125,Mercedes-Benz,GLA,5,Interior,D,,0.0
126,Mercedes-Benz,GLA,5,Interior,D,To small,0.0
127,Mercedes-Benz,GLA,5,Interior,D,Very small size,0.0
128,Mercedes-Benz,GLA,5,Engine/Transmission,M,The engine runs load nosiest,0.0
129,Mercedes-Benz,GLA,5,Engine/Transmission,M,To loud wend u stand out side of the vehicle I can hear it 3 floors up wend wife pulls up,0.0
130,Mercedes-Benz,GLA,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"Factory audio and nav system are very cumbersome menu and use of dials to get between maps, radio, media.  CarPlay does not have touch screen which becomes as useless as factory system because using separate dials requires too much attention to be useful unless you are stopped in the vehicle",-0.2023
131,Mercedes-Benz,GLA,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
132,Mercedes-Benz,GLA,3,Engine/Transmission,M,Battery drained after turning engine off but auxiliary was turned on by pressing engine on/off twice in close succession,0.1154
133,Mercedes-Benz,E-Class,1,Features/Controls/Displays (FCD),D,"Cigarette plug is not available in front of car, this makes it unusable for items that plug in e.g. radar detectors.",0.0
134,Mercedes-Benz,CLA,3,Driving Experience,D,"A couple of times, the car did not automatically release the parking brake when started and shifted into D or R. So I was not able to move. After re-starting the car, it disengaged the parking brake when shifted into P or R.",0.0
135,Mercedes-Benz,CLA,3,Audio/Communication/Entertainment/Navigation (ACEN),M,: Sometime I want no audio/radio but do want to be able to use my paired phone's Bluetooth for receiving calls. Have not figured out how to get the radio to just turn off. Only thing that seems to come close is the 'Mute' button on the dash/steering wheel.,0.0
136,Mercedes-Benz,CLA,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"Have had to re-pair the phone multiple times for CarPlay . If the cable is not connected, the phone should automatically pair over Bluetooth but does not seem to do so  There is no indication whether or not the phone is connected via Bluetooth and which one .",-0.4932
137,Mercedes-Benz,E-Class,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"There are way too many steps involved in entering, storing, or retrieving an address. My other car is a Prius with a touchscreen, which is much easier to operate.",0.4215
138,Mercedes-Benz,GLA,2,Engine/Transmission,M,I accelerate and the car hesitates.,-0.34
139,Mercedes-Benz,GLA,2,Engine/Transmission,D,The engine hesitates during acceleration.,-0.34
140,Mercedes-Benz,GLC,1,Features/Controls/Displays (FCD),M,THey needed to do a softwarer update as the keyless go feature was not working. It has worked since then,0.0
141,Mercedes-Benz,C-Class,1,Exterior,M,taken care of by myself,0.4939
142,Mercedes-Benz,C-Class,2,Exterior,D,,0.0
143,Mercedes-Benz,C-Class,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"Bluetooth has to be told to connect to phone almost every time we get in car.  And, if it connects, it has to be unpaused.  .",0.0
144,Mercedes-Benz,CLA,8,Exterior,M,There are body panel gaps between the doors in the car. It looks cheap and poorly designed.,0.0
145,Mercedes-Benz,CLA,8,Driving Experience,M,This is specific to the sport mode on the car and does not happen when the car is any other mode.,0.0
146,Mercedes-Benz,CLA,8,Features/Controls/Displays (FCD),D,The turning signal is likely to turn on the brights if you add too much pressure going up. I haven't had this problem in other cars. I don't know if the sensitivity needs to be adjusted.,-0.6027
147,Mercedes-Benz,CLA,8,Audio/Communication/Entertainment/Navigation (ACEN),D,There is no way to feed the cables out of the center console without crushing the cable. I have searched for a location to feed it out and I have not been able to find anything.,-0.0232
148,Mercedes-Benz,CLA,8,Audio/Communication/Entertainment/Navigation (ACEN),D,The car has Android Auto and it will frequently crash throughout a drive.,-0.4019
149,Mercedes-Benz,CLA,8,Audio/Communication/Entertainment/Navigation (ACEN),U,The car has Android Auto and it will frequently crash throughout a drive or shut down. This especially happens whenever the car goes over a bump. It may be due to software and hardware issues.,-0.4019
150,Mercedes-Benz,CLA,8,Interior,M,There is an interior door panel gap that reveals the exterior paint. It looks cheap. I'm lucky I chose a car with black exterior paint because it's less obvious. It's just bad design and a lack of attention to detail.,-0.4588
151,Mercedes-Benz,CLA,8,Interior,D,It's another example of poor design because there is no where to feed the cables within to the outside without crushing them with the cover. I'd like to not have to buy cables every couple of months because of this terrible design. I have looked and looked to see if there is a way to feed them out but there is nothing. Another reason the center console is so poorly designed is because the room between the dial and console is ridiculously uncomfortable. Did they design this for children's arms?,-0.8465
152,Mercedes-Benz,GLA,1,Engine/Transmission,D,,0.0
153,Mercedes-Benz,C-Class,3,Driving Experience,M,"Over 55mph , the steering wheel slighlty shakes",0.0
154,Mercedes-Benz,C-Class,3,Driving Experience,D,,0.0
155,Mercedes-Benz,C-Class,3,Seats,M,,0.0
156,Mercedes-Benz,S-Class,5,Exterior,M,,0.0
157,Mercedes-Benz,S-Class,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
158,Mercedes-Benz,S-Class,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
159,Mercedes-Benz,S-Class,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
160,Mercedes-Benz,S-Class,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
161,Mercedes-Benz,GLA,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
162,Mercedes-Benz,E-Class,2,Audio/Communication/Entertainment/Navigation (ACEN),M,: Audio initialization did not properly set up side speakers - resulted in muted / muddled sound when problem occures.,-0.4019
163,Mercedes-Benz,E-Class,2,Interior,M,"small rattle at overhead console. Mostly on moderately 'rough' roads, but often on relatively smooth roads.",0.0
164,Mercedes-Benz,C-Class,2,Driving Experience,D,squeaks on first pulling out of the driveway and occasionally at other occasions in wet weather,0.0
165,Mercedes-Benz,C-Class,2,Interior,U,rattle in the rear seat airflow spoiler  when the convertible top is in the down  position,0.2023
166,Mercedes-Benz,GLA,2,Driving Experience,D,"When reversing the brakes, they make squeaking nouse. Front break pads where replaced according to last visit but still make same noise. Very frustrating experiencing these issues, especially with a new vehicle.",-0.6474
167,Mercedes-Benz,GLA,2,Audio/Communication/Entertainment/Navigation (ACEN),D,The satellite radio keeps cutting out even in park position. Xm radio evaluated the problem and stated itâ€™s the motem in vehicle which is faulty : Satellite radio doesnâ€™t work properly. Xm radio said it is the motel in car that is faulty,-0.7783
168,Mercedes-Benz,GLE,3,Exterior,D,,0.0
169,Mercedes-Benz,GLE,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
170,Mercedes-Benz,GLE,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
171,Mercedes-Benz,GLC,3,Exterior,M,: Motion sensor for trunk open/close is difficult to trigger,-0.3612
172,Mercedes-Benz,GLC,3,Interior,M,View through center of windshield is distorted like looking through prescription glasses.,-0.0516
173,Mercedes-Benz,GLC,3,Engine/Transmission,D,It doesnt like to go from second to first gear.,-0.2755
174,Mercedes-Benz,GLA,1,Engine/Transmission,D,"Jerky shifting, worse with abrupt acceleration, or from park to reverse/start",-0.4767
175,Mercedes-Benz,GLS,8,Exterior,M,tricky to unscrew off.,-0.1531
176,Mercedes-Benz,GLS,8,Features/Controls/Displays (FCD),D,poor location and difficult to see and use.,-0.6808
177,Mercedes-Benz,GLS,8,Features/Controls/Displays (FCD),D,"Poor location, visually obscurred",-0.4767
178,Mercedes-Benz,GLS,8,Features/Controls/Displays (FCD),D,Not very bright and not easily  located,0.2862
179,Mercedes-Benz,GLS,8,Features/Controls/Displays (FCD),D,very fine adjustment to increase 1 mph vs 5 mph.,0.5256
180,Mercedes-Benz,GLS,8,Audio/Communication/Entertainment/Navigation (ACEN),D,Not easy to use or intuitive,0.4404
181,Mercedes-Benz,GLS,8,Seats,D,"stated clearly,  also stiff and not as comfortable as I would expect.",-0.0005
182,Mercedes-Benz,GLS,8,Seats,U,stiff and uncomfortable,-0.3818
183,Mercedes-Benz,C-Class,1,Interior,D,The floor mat snap on the floor of the driver's side to hold the all weather maps keeps breaking. I already had it placed twice.,0.0
184,Mercedes-Benz,GLE,5,Exterior,M,,0.0
185,Mercedes-Benz,GLE,5,Exterior,M,hope to have feet senser or something similar that can open the tailgate when hands are full,0.4404
186,Mercedes-Benz,GLE,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
187,Mercedes-Benz,GLE,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
188,Mercedes-Benz,GLE,5,Seats,D,headset seems cannot go all the way down,0.0
189,Mercedes-Benz,GLE,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Not as good as the iphone,0.4404
190,Mercedes-Benz,GLE,1,Interior,D,Center console storage space not very usable.,0.0
191,Mercedes-Benz,E-Class,1,Engine/Transmission,M,"ONLY HAPPENED ONCE, BUT WHEN I SHIFTED OUT OF PARK INTO DRIVE, THE CAR DIDN'T MOVE SO I GAVE IT A LITTLE GAS AND THERE WAS A LOUD CLUNK.",0.0
192,Mercedes-Benz,GLE,1,"Heating, Ventilation, and Air Conditioning (HVAC)",D,Sometimes when the heat is on it takes a while for the vehicle to heat up. When the heat is set to focus on feet....I can't feel it!,0.0
193,Mercedes-Benz,E-Class,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"devices locations are poorly located in center console also the apple play port which is located in front is hard to acces and if the smart phone is plug into the USB port for the apple play you cannot get to any other media devices - only the apps on your smart phone - poorly design - any you must have your smart phone plug into a usb port some where to access any music. again poorly designed. also, the volume on the blue tooth device works great is plug into the usb port for the apple play, however if not, poor volume and just difficult to use",0.9521
194,Mercedes-Benz,C-Class,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"i have tried to teach the system but i still can not even tell it to make a phone call. Navigation system is useless with out the phone app as i can not enter even a street address with out to many clicks and constant corrections. with the app i can send the address to the car however,  It consistantly gives wrong directions as well its maps are not updated",-0.7351
