,Make,Series,Total_Problems,Mode,Verbatim,Score
26,BMW,X4,1,U,"Car makes an unexplained 'chirping' sound periodically. It has been into service for diagnosis,NULL,,Yes,Don't know
5UXKR0C50G0P30764,0P30764,5UXKR0C5G0,25468041,BMW,X5,BMW X5 4dr SUV,2015-11-20,F15,75.10 Spartanburg,N55,AUT,SPARKLING BROWN METALLIC,LC LEDER DAKOTA,FY CANBERRABEIGE,01CA; 0212; 0245; 0248; 0255; 0258; 02H4; 02VB; 0302; 0319; 0322; 0346; 03AG; 03AT; 03E1; 0402; 0420; 0423; 0430; 0441; 0459; 0488; 0493; 0494; 0496; 04AC; 04NB; 04NE; 0502; 0508; 0522; 0524; 0563; 0575; 05A1; 05AG; 05AS; 05DL; 0609; 0610; 0645; 0655; 0676; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TH; 08TN; 0992; 09AA,1,AEN06,Audio/Communication/Entertainment/Navigation ,AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,D,Cannot properly recognise what we are saying,NULL,No,,4
WMWZC5C54GWT38623,WT38623,WMWZC5C5GW,2505995R,MINI,Countryman,MINI Countryman 4dr SUV,2015-10-13,R60,85.10 Graz,N18,MECH,ABSOLUTE BLACK METALLIC,K9 LEATHERETTE                  ,E1 E1 CARBON BLACK,0210; 0226; 0249; 0255; 0258; 02GU; 02VB; 0313; 0314; 0320; 0322; 0325; 0381; 0386; 03AB; 03AR; 0403; 0423; 0430; 0431; 0441; 0450; 0473; 0481; 0493; 0494; 04CU; 04E1; 04UF; 04UK; 04UL; 0521; 0522; 0534; 0550; 0563; 05A1; 05DT; 0620; 0645; 0653; 0655; 0674; 06FP; 06NE; 06NF; 06NM; 06UH; 06UM; 06VC; 0785; 07L5; 0823; 0845; 0853; 0876; 08KL; 08SM; 08TN; 0925; 0927; 0992; 09AA,1,INT34,Interior,INT34: Cup Holders - DTU,D,Larger containers get in the way of controls and shifter.,7200,No,,2
WMWZC5C55GWU01387,WU01387,WMWZC5C5GW,2671083A,MINI,Countryman,MINI Countryman 4dr SUV,2015-10-13,R60,85.10 Graz,N18,AUT,LIGHT WHITE,K9 LEATHERETTE                  ,E1 E1 CARBON BLACK,0205; 0210; 0249; 0258; 02E7; 02VB; 02XA; 0314; 0322; 0325; 0381; 0386; 03AB; 03AR; 03CA; 0403; 0423; 0441; 0450; 0481; 0493; 04CU; 04E1; 04UF; 04UK; 04UL; 0507; 0521; 0522; 0534; 0550; 0563; 05A1; 05DT; 0645; 0653; 0674; 0693; 06FC; 06ND; 0785; 0823; 0845; 0853; 0876; 08KL; 08SM; 08TN; 0925; 0927; 0992; 09AA,1,AEN05,Audio/Communication/Entertainment/Navigation ,AEN05: Media Device Ports - DTU/Poor Location,D,Aux output is very close to USB output. Should be able to play music from phone without connecting too.,2000,No,,4
WBA8E3G53GNT79870,NT79870,WBA8E3G5GN,2852245K,BMW,3 Series,BMW 3 Series 4dr Sdn,2015-11-24,F30,70.01 Rosslyn,N26,AUT,ALPINWEISS 3,LC LEDER DAKOTA,L8 SCHWARZ/AKZENT OYSTER DUNKEL,01CA; 01CB; 0216; 0248; 0258; 02PP; 02TB; 02VB; 0302; 0319; 0322; 0337; 03AG; 03DZ; 0403; 0423; 0430; 0431; 0459; 0465; 0481; 0488; 0493; 0494; 0496; 04FU; 04NE; 0508; 0521; 0534; 0544; 0563; 0575; 05A1; 05A2; 05DS; 0645; 0655; 0688; 0697; 06AC; 06AE; 06NH; 0710; 0715; 0760; 0775; 0823; 0842; 0845; 0853; 08KL; 08TN; 0925; 0992; 0993; 09AA,1,AEN02,Audio/Communication/Entertainment/Navigation ,AEN02: Speakers - Broken/NW Properly,M,L rear speaker buzzing rattle at 50+mph. R rear speaker loose ,900,Yes,Entirely,1
WMWXP7C52G3B49285,3B49285,WMWXP7C5G3,2505307I,MINI,Cooper,MINI Cooper 2dr Hbk,2015-10-16,F56,74.20 Born,B46M,-,CHILI RED,NE LEDER CROSS PUNCH,E1 E1 CARBON BLACK,01CA; 0223; 0249; 0258; 02E4; 02VB; 02VG; 02XC; 0302; 0313; 0322; 0325; 0329; 0383; 03A1; 03AG; 0402; 0423; 0430; 0431; 0450; 0473; 0481; 0493; 0494; 04AA; 04C1; 04DC; 04NE; 04V9; 04VA; 0507; 0521; 0534; 0544; 0550; 0563; 05A1; 05A2; 05AA; 0609; 0645; 0674; 0693; 0697; 06NE; 06NM; 06NT; 06UH; 0785; 07KM; 07KN; 07L5; 0823; 0842; 0845; 0850; 0853; 08KL; 08SM; 08TN; 0925; 0992; 09AA,3,EXT18",0.0258
27,BMW,X5,1,D,The leather is HORRIBLE.  3 days after getting car with only a few miles the car drivers seat showed wear and staining,-0.6408
28,BMW,2 Series,3,,"Put in reverse ,no image",-0.296
29,BMW,2 Series,3,,Must 'feel' for this butten low and on the side of the steering column,-0.2732
30,BMW,2 Series,3,,: I just feel that the clutch travels too far to engage,0.34
31,BMW,5 Series,2,M,,0.0
32,BMW,5 Series,2,U,,0.0
33,BMW,X5,1,D,If i say point of interest it would open up a contact instead.,0.4588
34,BMW,4 Series,3,,I find that when the car is in comfort mode and turns off the wheel locks.,0.3612
35,BMW,4 Series,3,,: At times I hear the speakers pop. I've had this issue while on the phone as well as listening to the radio.,0.2732
36,BMW,X3,1,D,,0.0
37,BMW,5 Series,1,D,Everything is done with the dial and sometimes the controls aren't very intuitive.  It also requires a number of steps to get through the menus.,0.0772
38,BMW,X3,2,M,,0.0
39,BMW,X3,2,M,,0.0
40,BMW,X5,1,D,Tried to find navigation address.  Commands not addressed in any way.,0.0
41,BMW,X4,2,D,,0.0
42,BMW,X4,2,D,,0.0
43,BMW,2 Series,7,,,0.0
44,BMW,2 Series,7,,,0.0
45,BMW,2 Series,7,,,0.0
46,BMW,2 Series,7,,,0.0
47,BMW,2 Series,7,,,0.0
48,BMW,2 Series,7,,,0.0
49,BMW,2 Series,7, HVAC07," HVAC11""",0.0
50,BMW,4 Series,4,D,,0.0
51,BMW,4 Series,4,D,,0.0
52,BMW,4 Series,4,D,,0.0
53,BMW,X1,2,D,,0.0
54,BMW,X1,2,M,,0.0
55,BMW,X5,2,D,,0.0
56,BMW,X5,2,D,,0.0
57,BMW,Z4,1,M,Looked like vehicle had been left out in a hail storm,0.4215
58,BMW,X1,4,M,,0.0
59,BMW,X1,4,D,,0.0
60,BMW,X1,4,D,,0.0
61,BMW,X1,4,D,,0.0
62,BMW,X4,2,M,,0.0
63,BMW,X4,2,D,,0.0
64,BMW,3 Series,1,D,": Driving feel is numb -- and there is a lot of understeer.  Unlike my previous 2003 3 series,NULL,500,No,
WMWXP5C56GT739829,T739829,WMWXP5C5GT,2723104B,MINI,Cooper,MINI Cooper 2dr Hbk,2015-07-10,F56,77.29 Oxford,B36M,MECH,ELECTRIC BLUE II METALLIC,K9 LEATHERETTE                  ,E1 E1 CARBON BLACK,01CA; 0249; 0255; 02F0; 02VB; 0300; 0382; 0423; 0450; 04C1; 04EP; 04NE; 04V9; 04VA; 0521; 0534; 0544; 0550; 0563; 05DD; 0645; 0693; 0697; 06ND; 0823; 0842; 0845; 0850; 0853; 08KL; 08SM; 08TN; 0925; 0927; 0992; 09AA,1,AEN07,Audio/Communication/Entertainment/Navigation ,AEN07: Built-in Bluetooth Mobile Phone/Device Frequent Pairing/Connectivity Issues,D,,2400,No,,1
WMWXU1C56G2A93668,2A93668,WMWXU1C5G2,2504794F,MINI,Cooper,MINI Cooper 4dr Hbk,2015-07-10,F55,77.29 Oxford,B36M,MECH,WHITE SILVER METALLIC,K9 LEATHERETTE                  ,E1 E1 CARBON BLACK,01CA; 0249; 0255; 02F0; 02VB; 0300; 0313; 0329; 0383; 0402; 0423; 0430; 0431; 0450; 0494; 04BD; 04C1; 04NE; 04V9; 04VA; 0521; 0534; 0544; 0550; 0563; 05DD; 0645; 0693; 0697; 06ND; 0785; 0823; 0842; 0845; 0850; 0853; 08KL; 08SM; 08TN; 0925; 0927; 0992; 09AA,3,EXT20",-0.34
65,BMW,X3,4,M,"passenger seat control to move forward/backward sometimes at first it doesn't work at all, then it will work",0.0
66,BMW,X3,4,D,,0.0
67,BMW,X3,4,D,,0.0
68,BMW,X1,1,M,,0.0
69,BMW,5 Series,5,M,trunk does not go up quickly or automatically - need to push it up by hand at times.,0.4939
70,BMW,5 Series,5,D,Not sure the reason -,0.3182
71,BMW,5 Series,5,D,seem to hear a squeak when breaking - not all the time.,0.0
72,BMW,5 Series,5,M,: keyless entry - sometimes when I use my key to get into my car - it will not unlock the doors. I have to try multiple times - gets a bit scary thinking I cannot get into the car particularly if I am a distance from home.,-0.4939
73,BMW,5 Series,5,D,had trouble reconnecting,-0.4019
74,BMW,X1,5,D,rear hatch does not respond to foot sensor.,0.0
75,BMW,X1,5,D,cannot operate door lock control from driver door when door open.,0.0
76,BMW,X1,5,D,"wheel obstructs some of the display : dashboarder section) readouts obstructed by steering wheel
WBXHT3C39GP886583,P886583,WBXHT3C3GP,24077441,BMW,X1,BMW X1 4dr SUV,2015-11-10,F48,06.01 Regensburg,B46O,AUT,MINERALGRAU METALLIC,KC SENSATEC 1,SW SCHWARZ,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028A; 02VB; 02VG; 0302; 0316; 03AT; 03L8; 0420; 0423; 0459; 0473; 0493; 0494; 04LR; 04NE; 0534; 0544; 0575; 0645; 0650; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06UN; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,5,EXT19",0.0
77,BMW,X1,5,D,"many steps
WBA5B3C53GG254129,G254129,WBA5B3C5GG,2405702Y,BMW,5 Series,BMW 5 Series 4dr Sdn,2015-09-23,F10,02.04 Dingolfing,N55,AUT,IMPERIALBLAU BRILLANTEFFEKT METALLI,LC LEDER DAKOTA,V1 VENETOBEIGE,01CA; 01CB; 01CC; 01CD; 0212; 0248; 0255; 0258; 02K2; 02TB; 02VB; 0302; 0316; 0319; 0322; 03AG; 0403; 0423; 0430; 0431; 0459; 0465; 0488; 0494; 0496; 04BN; 04NE; 04U2; 04UR; 0502; 0508; 0524; 0534; 0575; 05A1; 05DS; 0609; 0610; 0645; 0655; 0676; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 06WA; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,3,EXT18",0.0
78,BMW,5 Series,3,,The noise seems to be coming from a window glass,0.0
79,BMW,5 Series,3,,The clamps inside cup holders do not retract in easily,-0.2584
80,BMW,3 Series,1,M,It's very heavy and hard to pull down trunk. Used to trunk that comes down slowly with a slight tug. : The trunk opening system of waving one's foot under trunk rarely works.,-0.1689
81,BMW,X6,2,M,,0.0
82,BMW,X6,2,M,,0.0
83,BMW,2 Series,2,D,,0.0
84,BMW,2 Series,2,U,,0.0
85,BMW,4 Series,2,D,,0.0
86,BMW,4 Series,2,D,,0.0
87,BMW,2 Series,3,,: Vehicle is Apple/iPhone friendly but does not work with voice commands with Android   Very annoying and unfair to Android users.,-0.8144
88,BMW,2 Series,3,,,0.0
89,BMW,2 Series,3, AEN07," INT34""",0.0
90,BMW,4 Series,3,,"Again, to complicated",0.0
91,BMW,4 Series,3,,The prior BMW  had the cup holders come out from the wall.,0.0
92,BMW,2 Series,2,D,,0.0
93,BMW,2 Series,2,D,,0.0
94,BMW,3 Series,6, AEN05, HVAC02,0.0
95,BMW,3 Series,6, AEN05, HVAC02,0.0
96,BMW,3 Series,6,,,0.0
97,BMW,3 Series,6, DEXP19," AEN11""",0.0
98,BMW,X1,5,D,,0.0
99,BMW,X1,5,D,,0.0
100,BMW,X1,5,M,,0.0
101,BMW,X1,5,D,,0.0
102,BMW,2 Series,2,D,,0.0
103,BMW,2 Series,2,D,,0.0
104,BMW,5 Series,3,,"The hinges do not catch the weight of the door, so the door falls back toward the frame too easily. Door opens too wide. Hard to reach door to close it from the driver's seat when the door is fully extended.",0.2732
105,BMW,5 Series,3,,Sometimes catch the accelerator pedal while applying brake.,0.0
106,BMW,5 Series,3,,"The distance between car and object is distorted. You can see what is behind, but it is difficult  to judge the distance.",-0.6249
107,BMW,7 Series,2,M,,0.0
108,BMW,7 Series,2,D,,0.0
109,BMW,7 Series,1,D,round ie: tire gauge or large items ie: sunglass case rolls out onto box lid because there is no lip to stop items stopping door from closing making it difficult to lean across to readjust the items in the glove box,-0.7579
110,BMW,X1,1,D,Side rear view mirrors backup  automatic positioning in not adjustable.  The dealer can't do anything.  The model of car isn't build with any adjustment options.,0.0
111,BMW,X1,1,D,"The car has profiles activated by the keyfob,NULL,900,Yes,Partially
5UXKU6C5XG0R34408,0R34408,5UXKU6C5G0,28582145,BMW,X6,BMW X6 4dr SUV,2016-02-18,F16,75.10 Spartanburg,N63T,AUT,MINERALSILBER METALLIC,LC LEDER DAKOTA,D1 D1 KORALLROT,01CA; 0212; 0248; 0255; 02TZ; 02VB; 02VM; 0300; 0302; 0319; 0322; 0323; 0328; 03AG; 0403; 0417; 0420; 0423; 0430; 0441; 0456; 0488; 0493; 0494; 0496; 04B9; 04M5; 04NB; 04U1; 0502; 0508; 0524; 0563; 0575; 05A1; 05AG; 05AS; 05DL; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06FH; 06NP; 06WB; 07KL; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TH; 08TN; 0992; 09AA,1,AEN09,Audio/Communication/Entertainment/Navigation ,AEN09: Built-in Rear-Seat Video System - DTU/Poor Location,D,not intuitive. Not as advertised. thought that the rear entertainment system could be controlled with the front controls",0.4215
112,BMW,2 Series,1,D,,0.0
113,BMW,X3,3,,It seems like I have to press harder than normal on the brake pedal to stop quickly.,0.0772
114,BMW,X3,3,,,0.0
115,BMW,X3,3,,It's noisier than my other BMWs when it's in park or going down the road but I mostly notice it if I leave the car in park and get out of the car for a quick second with the car engine on.,-0.0772
116,BMW,3 Series,1,D,"Incorrect position,NULL, 1 hour plus duration, both on same 400 mile road trip",0.0
117,BMW,X6,1,M,"Sometimes the remote has to pressed multiple times before the tailgate will open.  Additionally,NULL,,No,
WBA7F2C52GG418381,G418381,WBA7F2C5GG,2701902Q,BMW,7 Series,BMW 7 Series 4dr Sdn,2015-11-17,G12,02.04 Dingolfing,N63R,AUT,BLACK SAPPHIRE METALLIC,NA EXCL.LED.NAP.ERW.,CY CANBERRABEIGE,01CA; 01CB; 01MA; 0212; 021H; 0255; 0258; 02TB; 02VB; 0302; 0319; 0322; 0323; 0337; 03AG; 03DS; 03DZ; 0402; 0416; 0441; 0453; 0456; 0465; 0494; 04BP; 04NB; 04ND; 04T7; 04UR; 0552; 05A1; 05AC; 05AP; 05AT; 05DL; 05DP; 05DS; 0609; 0610; 0645; 0650; 0655; 0688; 06AC; 06AE; 06AK; 06AM; 06AN; 06AP; 06NW; 06U8; 06WB; 06WD; 0715; 0760; 0775; 0823; 0840; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SM; 08TN; 0925; 09AA,2,AEN06",0.0
118,BMW,7 Series,2,D,,0.0
119,BMW,X5,2,D,,0.0
120,BMW,X5,2,D,The red/blue dial interferes with set temperature; the dial must be on blue as an example for 60 degree temperature setting to work.  The dial seems completely unnecessary.,0.0
121,BMW,X5,4,M,"It isn't that is hard to open or close, it is awkward for my kids to climb out because there is no place for them to put their feet while trying to step out.",-0.362
122,BMW,X5,4,M,"Sometimes, the hydrolic on the hatch doesn't work and it is hard to open.  Also you can't close it from the inside of the car or the remote
5UXKR2C54G0R68807,0R68807,5UXKR2C5G0,2282361A,BMW,X5,BMW X5 4dr SUV,2015-10-21,F15,75.10 Spartanburg,N55,AUT,BLACK SAPPHIRE METALLIC,LC LEDER DAKOTA,MY MOKKA,01CA; 0212; 0245; 0255; 0258; 02H7; 02VB; 0302; 0319; 0322; 0346; 03AA; 03AG; 0402; 0420; 0423; 0430; 0441; 0459; 0488; 0493; 0494; 04AC; 04NB; 04NC; 04NE; 04UB; 0508; 0522; 0524; 0563; 0575; 05A1; 0609; 0610; 0645; 0655; 0676; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0992; 09AA,4,EXT09",-0.1027
123,BMW,X5,4,D,Third row is difficult for me to put up from the down position.  I have to move the second row to get the third row up. It is awkward to manipulate.,-0.4767
124,BMW,X3,1,D,This is just a personal preference for the traditional pull lever emergency brake as I think the small hand brake that this vehicle has could be hard to locate and engage during an actual emergency.,0.0
125,BMW,X1,1,U,seats are to hard.,-0.1027
126,BMW,X6,1,D,It seems like the call is dropped but it isn't. The call is still live but the bluetooth disconnects.  Not sure if it's a BMW or iPhone issue.,0.5719
127,BMW,5 Series,2,M,,0.0
128,BMW,5 Series,2,D,,0.0
129,BMW,X6,3,,Not sure where the selector is set at.,0.3182
130,BMW,X6,3,,Hard to operate the rear hatch by remote.,-0.1027
131,BMW,X6,3,,"The part that is stationary need to be extended up an inch or two, as to make it easier to find and connect the strapping side to.",0.4215
132,BMW,5 Series,1,D,,0.0
133,BMW,X3,2,D,,0.0
134,BMW,X3,2,M,,0.0
135,BMW,2 Series,2,M,,0.0
136,BMW,2 Series,2,U,,0.0
137,BMW,X5,2,D,,0.0
138,BMW,X5,2,D,,0.0
139,BMW,X5,5,D,"Once navigation is turned on
5UXKR0C59G0P26826,0P26826,5UXKR0C5G0,2282587X,BMW,X5,BMW X5 4dr SUV,2015-10-21,F15,75.10 Spartanburg,N55,AUT,GLACIERSILBER METALLIC,LC LEDER DAKOTA,SW SCHWARZ,01CA; 0212; 0245; 0255; 0258; 02H7; 02VB; 0302; 0319; 0322; 0328; 0346; 03AA; 03AG; 0402; 0420; 0423; 0430; 0441; 0459; 0488; 0493; 0494; 04CV; 04NB; 04NE; 0508; 0522; 0524; 0563; 0575; 05A1; 0609; 0645; 0655; 0676; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0992; 09AA,5,EXT16",0.0
140,BMW,X5,5,D,It is too small to block sun light sometimes. You have to sit straight to stay in its shadow. The material looks very cheap for luxury car.,-0.25
141,BMW,4 Series,9,,,0.0
142,BMW,4 Series,9,,,0.0
143,BMW,4 Series,9,,,0.0
144,BMW,4 Series,9,,,0.0
145,BMW,4 Series,9,,,0.0
146,BMW,4 Series,9,,,0.0
147,BMW,4 Series,9,,,0.0
148,BMW,4 Series,9,,,0.0
149,BMW,4 Series,2,D,,0.0
150,BMW,4 Series,2,M,,0.0
151,BMW,X3,1,M,Speakers will fade to nothing and then eventually come back.,0.0
152,BMW,X3,1,D,: The map is not the latest so navigation system didn't know to get to the shortest route. Once updated it is fine.,0.2023
153,BMW,X3,6, FCD48, AEN07,0.0
154,BMW,X3,6, FCD48, AEN07,0.0
155,BMW,X3,6, FCD48, AEN07,0.0
156,BMW,X5,5,M,,0.0
157,BMW,X5,5,D,"Eco pro and comfort mode too loose
5UXKR0C5XG0P30223,0P30223,5UXKR0C5G0,2282471I,BMW,X5,BMW X5 4dr SUV,2015-11-17,F15,75.10 Spartanburg,N55,AUT,ALPINWEISS 3,LC LEDER DAKOTA,B8 TERRA,01CA; 0212; 0245; 0248; 0255; 0258; 02D4; 02VB; 0300; 0302; 0319; 0328; 03AG; 03AT; 03MB; 0402; 0417; 0420; 0423; 0430; 0441; 0459; 0488; 0493; 0494; 0496; 04DD; 04NC; 04NE; 04UB; 0502; 0508; 0522; 0524; 0534; 0563; 0575; 05A1; 05AG; 05AS; 05DL; 0609; 0610; 0645; 0688; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TH; 08TN; 0992; 09AA,5,EXT28",0.0516
158,BMW,X5,5,M,This problem comes and goes.,-0.4019
159,BMW,X5,5,D,Takes time to remove.,0.0
160,BMW,4 Series,3,,Black panel between front and back door Windows  has swirls in the material,0.0
161,BMW,4 Series,3,,Phone cradle not universal wasted space,0.3875
162,BMW,4 Series,3,,: Vanity mirror to small,-0.2263
163,BMW,2 Series,1,,,0.0
164,BMW,4 Series,2,M,,0.0
165,BMW,4 Series,2,D,,0.0
166,BMW,X1,2,D,,0.0
167,BMW,X1,2,D,,0.0
168,BMW,X3,1,D,,0.0
169,BMW,3 Series,2,D,,0.0
170,BMW,3 Series,2,D,,0.0
171,BMW,3 Series,3,,Can never get an audio address correct.,0.0
172,BMW,3 Series,3,,Font is too small on the screen,0.0
173,BMW,3 Series,3,,Constantly below stated EPA MPG.  Never been close to combined 26 mpg.  Average is 18 mpg. Disappointing.,-0.4939
174,BMW,X4,1,D,Anytime we try using the voice recognition it intermittently works. Primarily for the navigation system when we try to give voice commands on addresses. The dial for letters or using your finger works better to enter data to navigation system.,0.4404
175,BMW,X1,1,M,: The self closing rear hatch would not close properly a few times thus the backup camera would not operate.    No maintenance and has worked ok since problem occurred about 6-7 weeks ago.,0.0997
176,BMW,5 Series,7,,,0.0
177,BMW,5 Series,7,,,0.0
178,BMW,5 Series,7,,,0.0
179,BMW,5 Series,7,,,0.0
180,BMW,5 Series,7,,,0.0
181,BMW,5 Series,7,,,0.0
182,BMW,5 Series,7,,,0.0
183,BMW,X5,1,U,: The iDrive system would randomly shut off and restart while driving.,0.0
184,BMW,4 Series,1,M,"small area where paint is not blended in perfectly,NULL,2200,No,
WBXHT3C32GP883945,P883945,WBXHT3C3GP,2407825E,BMW,X1,BMW X1 4dr SUV,2015-10-19,F48,06.01 Regensburg,B46O,AUT,MINERALGRAU METALLIC,KC SENSATEC 1,SW SCHWARZ,01AG; 01CA; 0205; 0248; 0249; 0255; 0258; 028A; 02VB; 02VG; 0302; 0316; 03AG; 03AT; 03L8; 0402; 0420; 0423; 0459; 0473; 0493; 0494; 04LR; 04NE; 0508; 0534; 0544; 0575; 05DP; 0645; 0650; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06UN; 0704; 0775; 07HW; 0823; 0842; 0845; 0850; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0925; 0927; 0992; 09AA,7,EXT18",0.0
185,BMW,X1,7,,,0.0
186,BMW,X1,7,,,0.0
187,BMW,X1,7,,,0.0
188,BMW,X1,7,,,0.0
189,BMW,X1,7,,,0.0
190,BMW,X1,7,,,0.0
191,BMW,3 Series,5,M,: Automatic 'kick' opening of the trunk door doesn't always work. Could be because I'm not using it correctly. Talked to the dealer but of course it worked great when I was at the dealer's,0.7684
192,BMW,3 Series,5,D,Barely visible when wearing in polarized sunglasses. There's a tilt function to address that but it doesn't help at all. Works great without sunglasses though,0.5808
193,BMW,3 Series,5,D,It's working but not nearly as easy and intuitive as for example Apple's Siri or Google Android voice recognition systems,-0.4782
194,BMW,3 Series,5,D,": The navigation system is hard to use
WBA8B7G53GNT14873,NT14873,WBA8B7G5GN,28524674,BMW,3 Series,BMW 3 Series 4dr Sdn,2015-11-25,F30,70.01 Rosslyn,B58M,AUT,BLACK SAPPHIRE METALLIC,LC LEDER DAKOTA,FJ VENETOBEIGE/AKZENT OYSTER DUNKEL,01CA; 01CB; 0216; 0248; 0258; 02A5; 02TB; 02VB; 02XE; 0302; 0319; 0322; 03AG; 03DZ; 03L8; 0403; 0423; 0430; 0431; 0459; 0465; 0481; 0488; 0493; 0494; 0496; 04FW; 04NE; 0508; 0521; 0534; 0544; 0563; 0575; 05A1; 05A2; 05DS; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NH; 06WA; 0775; 07AC; 0823; 0842; 0845; 0853; 08KL; 08TN; 0925; 0992; 0993; 09AA,5,EXT18",-0.1027
195,BMW,X1,6, FCD17, FCD55,0.0
196,BMW,X1,6, FCD17, FCD55,0.0
197,BMW,X1,6,Audio/Communication/Entertainment/Navigation (ACEN),AEN04: Audio System - DTU/Poor Location,0.0
198,BMW,5 Series,4,D,"Voice system not the best, is slow and misinterprets frequently.",-0.5216
199,BMW,5 Series,4,D,Plots wrong route info - takes unnecessary detours and 'shortcuts',-0.4767
200,BMW,5 Series,4,D,"Not big enough, also no place to put keys if using both holders.",-0.296
201,BMW,5 Series,4,D,,0.0
202,BMW,3 Series,2,M,,0.0
203,BMW,3 Series,2,D,,0.0
204,BMW,X5,2,D,,0.0
205,BMW,X5,2,D,,0.0
206,BMW,X4,1,D,: My cell phone reception is not as strong in this car as in my former car  or the other 3 cars my family owns.  Have had issues where calls are dropped in areas where they shouldn't be dropped.,-0.4023
207,BMW,X1,1,D,I don't understand anything about it. It is too complex.,0.0
208,BMW,X1,3,,Probably related to the light color of the leather but seems to get dirty very easily.,-0.0799
209,BMW,X1,3,,"At times it does not shift smoothly, usually at lower speeds. Sometimes it will hold a year too long and then shift abruptly.",-0.296
210,BMW,X1,3,,"Usually happens if rolling to a stop but not completely stopped. When stepping on the accelerator, there is sometimes a lag before the car takes. Seems like all or nothing at times.",0.2202
211,BMW,X1,1,M,: Check Engine Sensor Light activated,0.0
212,BMW,5 Series,4,D,Gives me incorrect arrival times and doesn't always show traffic but instead appears clear.  Sometimes takes me way out of the way and not the fastest route.  Told by dealer no one else has complained,-0.4497
