,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
2300,BMW 2 Series 2dr Cnv,3,Interior,U,The silver metal on console and door gets extremely hot,0.0
2299,BMW 2 Series 2dr Cnv,3,Exterior,M,Was told it was normal but itâ€™s louder on passenger side than drivers side,0.0
2298,BMW 2 Series 2dr Cnv,3,Exterior,M,Sometimes the cap doesnâ€™t go down far enough so Door wonâ€™t close,0.0
1437,BMW 2 Series 2dr Cnv,6,Driving Experience,D,"It's difficult to apply the brakes without having part of my foot on the gas. At times, I often have to roll my foot to the left to maintain more pressure on the brakes than the gas.",-0.6115
1438,BMW 2 Series 2dr Cnv,6,Features/Controls/Displays (FCD),D,,0.0
1439,BMW 2 Series 2dr Cnv,6,Audio/Communication/Entertainment/Navigation (ACEN),D,I reside in WV  and i cant clearly get any DC stations until i cross into the Virginia border.,-0.3089
1440,BMW 2 Series 2dr Cnv,6,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1441,BMW 2 Series 2dr Cnv,6,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
2733,BMW 2 Series 2dr Cnv,3,Engine/Transmission,M,Hesitation when restarting. I just disabled the feature,-0.2732
2732,BMW 2 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),D,Does not work very well,-0.2572
2731,BMW 2 Series 2dr Cnv,3,Features/Controls/Displays (FCD),M,Have had to reset the date three times. Has been reported to BMW customer service..,0.0
1442,BMW 2 Series 2dr Cnv,6,Engine/Transmission,D,,0.0
1311,BMW 2 Series 2dr Cnv,11,Engine/Transmission,M,"when I got this car first month, I forgot the turn off the lights, then the car battery went to very low, and have lights on of the battery on the screen.",-0.3384
1569,BMW 2 Series 2dr Cnv,4,Interior,D,": Not sure this is what you are looking for ... but to me this is a driving problem ... the VISOR does not block the sun.  There needs to be some kind of extension that would pull down to make the visor wider at the very least. : VISOR doesn't block the sun ... need to be bigger.  Speed Warning notification does not stay set, goes back and consequently never works.  The storage in the vehicle is not satisfactory, seems like a better job could have been done using the interior space.  the center console is an example .. it doesn't hold much of anything.  The back up warning DOES NOT HAVE sound ... neither does the FRONT COLLISION warning ... difficult to see when having your eyes on the road ... it needs to have an audible warning sound.  These are design features I believe that the dealer cannot fix, except for the speed warning, which they handed off to BMW International.",-0.965
2883,BMW 2 Series 2dr Cnv,1,Engine/Transmission,M,The car battery was dead at delivery and needed a replacement installed. The dealer took care of this quickly.,-0.2732
2038,BMW 2 Series 2dr Cnv,3,Exterior,M,"Took final delivery and inspection after darkness.  When at home in garage in daylight while detailing it, at a longview angle I spotted a slight one-inch ding without broken paint surface, in the area marked.  It appeared to be they type done by another vehicle door opening, and my vehicle was not in this environment to be dinged from the time I took delivery until I found the ding. The dealer did not dispute and repaired the ding at no charge to me.  It looks like a perfect repair, and I am satisfied.  This ding could have occurred anytime from assembly plant release in Germany to dealer delivery, storage, and vehicle demonstration to customers.",0.8754
493,BMW 2 Series 2dr Cnv,1,Interior,D,"Shoes mark the door panel easily,leaving either white or brown streaks.",0.0
2237,BMW 2 Series 2dr Cnv,8,Audio/Communication/Entertainment/Navigation (ACEN),D,voice recognition stinks,-0.25
2238,BMW 2 Series 2dr Cnv,8,Audio/Communication/Entertainment/Navigation (ACEN),D,"the voice recognition is terrible, and the manual input is an extremely long process. Doesn't default to the current area you are in.",-0.4767
2239,BMW 2 Series 2dr Cnv,8,Seats,D,I have had the car wash clean it - It is an oyster color leather that scuffs easily.,0.6249
2240,BMW 2 Series 2dr Cnv,8,"Heating, Ventilation, and Air Conditioning (HVAC)",D,: the rear window defroster is very slow,0.0
1698,BMW 2 Series 2dr Cnv,1,Interior,D,There are dividers which limit the ability to store item in the side pockets,0.3182
2241,BMW 2 Series 2dr Cnv,8,Interior,D,it is too tiny,0.0
1039,BMW 2 Series 2dr Cnv,2,Seats,D,We are unable to remove rear headrests through repeated attempts to do so.,0.0
1040,BMW 2 Series 2dr Cnv,2,"Heating, Ventilation, and Air Conditioning (HVAC)",M,The passenger control does not show air to flow to the head. I have not been able to ask for help as my father has been very ill  since we took delivery of the car.,-0.101
2242,BMW 2 Series 2dr Cnv,8,Interior,D,"the cup holder is too close to the dash, preventing my insulated coffee tumbler from fitting properly, it tilts away from the dash.",-0.0258
2243,BMW 2 Series 2dr Cnv,2,Exterior,M,Door handles are too far forward & donâ€™t allow leverage for such big/ heavy door. No place to grab door when pushing open to stop it from swinging wide & hitting something.,-0.3612
2086,BMW 2 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"I find that using waze in lieu of the onboard navigation is both more accurate, easier to read, and is more timely in the information.",0.4728
2244,BMW 2 Series 2dr Cnv,2,Exterior,D,The double pull required to open from inside is poor design.,-0.4767
2087,BMW 2 Series 2dr Cnv,2,Seats,D,It has been difficult to sync our remote keys to the different drivers ,-0.3612
1631,BMW 2 Series 2dr Cnv,8,Exterior,M,,0.0
1632,BMW 2 Series 2dr Cnv,8,Exterior,D,,0.0
1633,BMW 2 Series 2dr Cnv,8,Features/Controls/Displays (FCD),D,Difficult to understand,-0.3612
1634,BMW 2 Series 2dr Cnv,8,Audio/Communication/Entertainment/Navigation (ACEN),D,Difficult system. Doesn't work,-0.3612
1635,BMW 2 Series 2dr Cnv,8,Seats,D,Hard to reach on driver side,-0.0772
1636,BMW 2 Series 2dr Cnv,8,Seats,D,Difficult to clean,0.0516
2236,BMW 2 Series 2dr Cnv,8,Features/Controls/Displays (FCD),U,"If it is snowing or heavy rain - every time I stop I get a collision warning from the camera malfunctioning, because it is covered with water/ice/snow. It is very annoying",-0.8439
2235,BMW 2 Series 2dr Cnv,8,Exterior,M,water/snow gets in trunk - not confined to runoff area,0.0
2755,BMW 2 Series 2dr Cnv,9,Audio/Communication/Entertainment/Navigation (ACEN),D,commands are rejected with car saying something like 'voice activation not available at this time',-0.2023
2108,BMW 2 Series 2dr Cnv,3,Features/Controls/Displays (FCD),D,would like the driver keyless door to open the passenger door with a DOUBLE touch of the handle. No way to unlock passenger door as wanted.  No unlock inside on drivers side as well.,0.0516
2110,BMW 2 Series 2dr Cnv,3,Interior,D,"sun visor is TOO SMALL and does not swing out to the side to extend along the side window, Really inadequate!",-0.3788
2109,BMW 2 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"does not recognize roads that really exist, really needs to update the maps",0.0
1378,BMW 2 Series 2dr Cpe,6,Features/Controls/Displays (FCD),D,Camera sometimes says malfunction and I have to restart the car to get it to work,0.0
1377,BMW 2 Series 2dr Cpe,6,Features/Controls/Displays (FCD),M,Tps says broken and dealer said itâ€™s my fault within 1 week,-0.7003
1421,BMW 2 Series 2dr Cpe,1,Features/Controls/Displays (FCD),D,small button and hidden,0.0
2219,BMW 2 Series 2dr Cpe,1,Exterior,M,Some condensation was building up after washing or heavy rain. Dealer dried out the headlight and the issue has not been observed since.,0.0
2258,BMW 2 Series 2dr Cpe,1,Seats,D,Doesnâ€™t lift seat high enogh,0.0
1585,BMW 2 Series 2dr Cpe,1,Seats,D,"I paid for the clear coating on my seats but instead of keeping the seats clean, dye from clothes transfers after a few times of sitting on the seat. The BMW dealership is looking into a solution. They have deep cleaned my driver seat once but the transfer has reoccurred after 3 weeks. Very disappointing.",0.3737
1823,BMW 2 Series 2dr Cpe,2,Exterior,M,small dent,0.0
234,BMW 2 Series 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1824,BMW 2 Series 2dr Cpe,2,Engine/Transmission,D,have mistakenly shifted into reverse when trying to shift into 1st and vice versa. : proper gear selection between 1st and reverse,-0.296
1352,BMW 2 Series 2dr Cpe,1,Interior,D,"cup holder too small, cannot increase size",-0.2411
2742,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
2096,BMW 2 Series 2dr Cpe,3,Driving Experience,D,"Wheel is too lose, prefer tighter steering and better response.",0.0516
2741,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
486,BMW 2 Series 2dr Cpe,2,Seats,D,Control function hard to figure out,-0.1027
2710,BMW 2 Series 2dr Cpe,1,Features/Controls/Displays (FCD),D,,0.0
1152,BMW 2 Series 2dr Cpe,1,Seats,M,seat does not return to original setting   also mirrors the same,-0.2411
1455,BMW 2 Series 2dr Cpe,1,Exterior,M,Latch wasn't attaching.  Had to take vehicle to be serviced within the first month.,0.0
1317,BMW 2 Series 2dr Cpe,1,Interior,D,It's just sometimes difficult to place drinks in the cup holders because it's too close to the controls.,-0.3612
485,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1682,BMW 2 Series 2dr Cpe,1,Interior,M,Instrument cluster was scratched on the inside. Manufacturer defect.,-0.34
1417,BMW 2 Series 2dr Cpe,1,Exterior,M,"Paint had fine, cobweb-like micro scratches in clear coat likely from pre-delivery detailing with dirty/contaminated cleaning rags.",0.5267
1646,BMW 2 Series 2dr Cpe,1,Exterior,M,"After a rain or wash, when the door is opened you can see the water on the inside of the door jam.  When the truck opens the waster running into a a catch area .",0.0
1788,BMW 2 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,"Difficult to adjust rear view mirror, very stiff",-0.3612
1789,BMW 2 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,"Steering wheels opening is small by design, forcing me to partially block either speedo/odometer on top, of instrument cluster at bottom",-0.2732
403,BMW 2 Series 2dr Cpe,1,Driving Experience,U,When I got the car it rode like it did not have any suspension system.  It rode like a truck.  The problem was the dealer had not removed the transportation 'stops' placed before shipment from Germany. Once the 'stops' were removed the car was back to normal.,0.3182
205,BMW 2 Series 2dr Cpe,1,Interior,M,Armrest started to bubble and seperate. Leather delaminated from the armrest.,0.0
769,BMW 2 Series 2dr Cpe,2,Seats,M,"The seat belt setting for the front passenger seat is set such that I am unable to set my phone or my purse on the passenger seat without the seat belt warning sound going off.  I took the vehicle into the dealer and the service department was unable to find anything wrong with it.  However, I must keep my phone in one of the cup holders and my purse on the floor so that the seat belt warning sound does not go off. : The only seating problem I have experienced is the setting for the seat belt warning on the front passenger seat which I previously explained.",-0.9001
1804,BMW 2 Series 2dr Cpe,1,Seats,D,,0.0
770,BMW 2 Series 2dr Cpe,2,Seats,D,The seat scuffs are very minor but I must wipe the seats frequently to keep them clean.,0.5499
1382,BMW 2 Series 2dr Cpe,6,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
2946,BMW 2 Series 2dr Cpe,2,Features/Controls/Displays (FCD),M,: The day of the month would skip forward a day every ten days to two weeks. The first software update did not fix it but the second update did.,0.0
1095,BMW 2 Series 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Phone pairing  drops while driving,0.0
2095,BMW 2 Series 2dr Cpe,3,Exterior,M,Same as previous,0.0
480,BMW 2 Series 2dr Cpe,1,Exterior,M,"When I washed my car for the first time, I noticed a scrape on the right, rear wheel. I did not notice it at my original receiving of the vehicle. i did not bring it to the attention of the dealer as it wasn't discovered upon initial taking ownership of vehicle.",0.3182
2094,BMW 2 Series 2dr Cpe,3,Exterior,M,"Said this before in the last survey, there is a deep scratch on the passenger side 'shadow line trim' which is plastic. Brought it back for dealership to look at but they told me to just buff it out my self because it would be hard or close to impossible to replace that part.",-0.1531
1380,BMW 2 Series 2dr Cpe,6,Seats,D,,0.0
1379,BMW 2 Series 2dr Cpe,6,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
2945,BMW 2 Series 2dr Cpe,2,Exterior,M,There are two places about the size of a pin head where the paint does not cover the primer completely.,0.0
2152,BMW 2 Series 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"If I only pair by Bluetooth and use Spotify on my phone, I can't switch songs with the buttons on the steering wheel.If I pair with Bluetooth and use ConnectedDrive to open Spotify with the iDrive controller, I can switch songs but the when I choose a song with the steering wheel button it jumps to the wrong song. The Spotify connection in ConnectedDrive is also very unstable/slow.",-0.631
185,BMW 2 Series 2dr Cpe,1,Driving Experience,M,,0.0
1790,BMW 2 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,Windshield wiper stalk totally obscures â€˜startâ€™ button,0.0
183,BMW 2 Series 2dr Cpe,2,Interior,D,Need a bit more space to pull the container out.  Have to tilt to extract drink.,0.0
182,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,: The knob for the map/communication is in the way of your arm.  It gets knocked to easily.  The placement on the 128i was much better.,0.6486
218,BMW 2 Series 2dr Cpe,1,Features/Controls/Displays (FCD),M,"Date sometimes skips a day or 2, has to be manually be changed to correct date.",0.0
1381,BMW 2 Series 2dr Cpe,6,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
2713,BMW 2 Series 2dr Cpe,1,Features/Controls/Displays (FCD),M,Navigation screen flickering repeatedly.,0.0
1036,BMW 2 Series 2dr Cpe,2,Interior,M,,0.0
558,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),M,": The touch screen seems to at times just start registering touches even though no one is touching the screen.  This results in changing channels or options or deactivating maps, or general chaos.  It is like having a 2 year-old randomly poking things.  After a restart, it is gone.  I have not isolated it yet, but I will.",-0.1825
116,BMW 2 Series 2dr Cpe,5,Audio/Communication/Entertainment/Navigation (ACEN),D,": I was surprised to find that the car only had a USB auxiliary port and not also a 3.5 mini jack.  I had wanted to play music from my smartphone using its DAC and frequency controls through a 3.5 mini jack connection but could not.  Also in general, the harman kardon premium stereo I think is not quite as nice sounding as the harman kardon I had in my 2008 335i.",-0.2862
2396,BMW 2 Series 2dr Cpe,1,Seats,D,The buckle receptical is too far down between the seat and center console. With a winter coat on it's hard to reach.,-0.0772
114,BMW 2 Series 2dr Cpe,5,Driving Experience,D,": Sometimes when reversing after first starting the car in the morning, the brakes will squeal.  Not that big of deal, as it goes away quickly.",0.0
40,BMW 2 Series 2dr Cpe,1,Features/Controls/Displays (FCD),D,: Just a recommendation: the central locking system was originally hard to find. It may be better located on the driverâ€™s door or by the gearshift.,0.3612
364,BMW 2 Series 2dr Cpe,3,Seats,D,"being a short person, I have the drivers seat up pretty far, so I have a very long reach with my left arm to reach back and get the seat belt. With the door open it's not too bad but becomes much more difficult if the door is shut",-0.0737
363,BMW 2 Series 2dr Cpe,3,Audio/Communication/Entertainment/Navigation (ACEN),D,"The USB port is in the center console storage between the seats, it should have been by the radio",0.0
2198,BMW 2 Series 2dr Cpe,7,Features/Controls/Displays (FCD),D,,0.0
2199,BMW 2 Series 2dr Cpe,7,Features/Controls/Displays (FCD),D,Control panel often does commands and switches modes without me doing anything.  It sometimes goes haywire.  I have to turn the car off for a while to reset it.,0.0
362,BMW 2 Series 2dr Cpe,3,Features/Controls/Displays (FCD),M,": Once, right after I started the car up, the airbag light stayed on  I put the car in drive to get it out of the garage, and the airbag light went out. It has never stayed on since that one and only time.",0.0
2200,BMW 2 Series 2dr Cpe,7,Features/Controls/Displays (FCD),D,,0.0
1541,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"Periodic connection problem.  After 2 months I was able to track the problem to the BMW app on my iphone.  Once I deleted BMW's own app, things have worked much better!!",-0.4738
1542,BMW 2 Series 2dr Cpe,2,Engine/Transmission,M,Appointment with dealer is scheduled for diagnosis.,0.0
79,BMW 2 Series 2dr Cpe,2,Engine/Transmission,M,Car would start but a 'replace battery' warning would be displayed on dashboard. : Needed a new battery and seat module,-0.4767
2201,BMW 2 Series 2dr Cpe,7,Features/Controls/Displays (FCD),D,The heated steering wheel is a great feature but it does not stay on long enough for me and there is no manual on and off control that I can find.,-0.0644
99,BMW 2 Series 2dr Cpe,1,Features/Controls/Displays (FCD),U,Calendar skips a day every once in a while so that the date continues to be wrong,-0.4767
2202,BMW 2 Series 2dr Cpe,7,Features/Controls/Displays (FCD),U,"The seatbelt warning sound comes on when no one is sitting in the passenger seat, nothing in on the passenger seat and I have my seat belt on.  I finally just keep the seat belt on the passenger side locked engage to avoid the alarm.",-0.7003
2203,BMW 2 Series 2dr Cpe,7,Audio/Communication/Entertainment/Navigation (ACEN),D,The port for the iPod is in a very awkward location.  located behind the middle storage box.,-0.2247
1951,BMW 2 Series 2dr Cpe,2,Exterior,M,Rocks from the highway leave small chips in the white paint,-0.0516
95,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Sometimes the address I program in comes up as other address choices.,0.0
94,BMW 2 Series 2dr Cpe,2,Exterior,D,"When I have my hands full with things to put in the trunk and I open thrunk with key fob, it does not pop open but I still have to put my fingers under the hood and pull and it's always hard to open.",-0.1531
1952,BMW 2 Series 2dr Cpe,2,Exterior,D,,0.0
2204,BMW 2 Series 2dr Cpe,7,Seats,U,passenger seat belt warning noise/bell goes off when no one is in the passenger seat and when there are no objects on the seat so I have to keep the passenger side seat belt clicked closed at all times.,-0.7003
1549,BMW 2 Series 2dr Cpe,3,Exterior,D,There is no motion sensor on the trunk to open the trunk.  The  only way to open the trunk  is to use the key fob button -- this is very inconvenient when you have bags of groceries in your hands.  There should be a motion sensor on the vehicle to open the trunk -- just like there is on the door handles. Other BMW series like the 3 & 4 have this--why doesn't the 2 series have it??,0.1197
1550,BMW 2 Series 2dr Cpe,3,Features/Controls/Displays (FCD),D,"The clock is partially obstructed by other items on the dash board - plus the clock, shown in two places -- is VERY small.  I am used to a much larger clock on the dash that is easier to see. I don't like this feature on the BMW at all.  We should be able to have a large clock display if we want it.",0.2477
1551,BMW 2 Series 2dr Cpe,3,Seats,D,The seat belt buckle has to reach into the the piece that it snaps into -- that piece is so so far back into the seat that you have a lot of difficulty reaching it in order to buckle it.  The piece is also very low into the seat.  The positioning of the seat belt buckle piece on the side of the seat is very difficult to get to and very difficult to maneuver in order to snap/engage the seat belt.  It clearly is not designed properly.,-0.6984
117,BMW 2 Series 2dr Cpe,5,Seats,U,"The front edge of the bottom seat cushion seems angled too high and as a result, it cuts off circulation to my legs, especially my left leg.  I've tilted the seat as far forward as possible, but the edge still applies pressure under my leg .  Every so often I have to bend my leg up to get circulation back or drive with the my leg constantly bent up.",-0.5267
118,BMW 2 Series 2dr Cpe,5,Interior,U,"The cargo net in the trunk, when attached, is not easy to use.  The trunk floor to which it is attached is not anchored, so when I left the net to try to get something underneath, the entire trunk floor lifts up.  So I have to unhook the net to get something underneath and then reattach it, which is a bit inconvenient.  In addition, one of the attachment hooks got stuck in its receptacle and when I tried to undo it, a piece of the receptacle broke off.  The hook still works, but it can no longer 'lock' in.",-0.7187
115,BMW 2 Series 2dr Cpe,5,Audio/Communication/Entertainment/Navigation (ACEN),M,": I was surprised to find that the car only had a USB auxiliary port and not also a 3.5 mini jack.  I had wanted to play music from my smartphone using its DAC and frequency controls through a 3.5 mini jack connection but could not.  Also in general, the harman kardon premium stereo I think is not quite as nice sounding as the harman kardon I had in my 2008 335i.",-0.2862
37,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1035,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
559,BMW 2 Series 2dr Cpe,2,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"Can I get the AC to just be off?  I do not need the car to decide the temperature and automatically always activate the AC.  If I declare it off, stay off.  No need to waste running a compressor if it isn't warranted by a degree or two.",-0.6124
264,BMW 2 Series 2dr Cpe,1,Seats,U,Plastic cover at end of seat backward and forward rail on passenger side broke off.,-0.4215
261,BMW 2 Series 2dr Cpe,1,Audio/Communication/Entertainment/Navigation (ACEN),M,": When connected to my iPhone, the music information will not update. If it does, itâ€™s the wrong information. Havenâ€™t taken it to the dealership since Iâ€™ve been gone for work.",-0.4767
36,BMW 2 Series 2dr Cpe,2,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
78,BMW 2 Series 2dr Cpe,2,Seats,M,Lumbar support didn't work when sitting in the seat. Would work when not sitting in seat. Dealer replaced the seat module and problem fixed. : Needed a new battery and seat module,0.0
