iqs_verbatim_2015.vin,iqs_verbatim_2015.id,iqs_verbatim_2015.make,iqs_verbatim_2015.series,iqs_verbatim_2015.model_and_type,iqs_verbatim_2015.model_code,iqs_verbatim_2015.motor,iqs_verbatim_2015.getriebe,iqs_verbatim_2015.werk,iqs_verbatim_2015.produktion,iqs_verbatim_2015.lackfarbe,iqs_verbatim_2015.polster_code,iqs_verbatim_2015.sas,iqs_verbatim_2015.total_problems,iqs_verbatim_2015.problems_indicated,iqs_verbatim_2015.category,iqs_verbatim_2015.problem,iqs_verbatim_2015.defect_malfunction,iqs_verbatim_2015.verbatim,iqs_verbatim_2015.mileage,iqs_verbatim_2015.took_to_dealer,iqs_verbatim_2015.resolved,iqs_verbatim_2015.severity
0196e6f88f5219427b08334155eae97d,B697B63K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/12/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,7,EXT38; FCD14; FCD29; AEN05; SEAT19; INT23; INT34,Features/Controls/Displays (FCD),FCD29: Clock - Controls/Displays DTU/Poor Location,D,,3500.00,No,,3
0196e6f88f5219427b08334155eae97d,B697B63K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/12/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,7,EXT38; FCD14; FCD29; AEN05; SEAT19; INT23; INT34,Audio/Communication/Entertainment/Navigation (ACEN),AEN05: Media Device Ports - DTU/Poor Location,D,,3500.00,No,,3
0196e6f88f5219427b08334155eae97d,B697B63K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/12/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,7,EXT38; FCD14; FCD29; AEN05; SEAT19; INT23; INT34,Seats,SEAT19: Memory Seats - Controls DTU/Poor Location,D,,3500,No,,3
0196e6f88f5219427b08334155eae97d,B697B63K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/12/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,7,EXT38; FCD14; FCD29; AEN05; SEAT19; INT23; INT34,Interior,INT23: Center Console Storage - DTU,D,,3500,No,,4
0196e6f88f5219427b08334155eae97d,B697B63K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/12/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,7,EXT38; FCD14; FCD29; AEN05; SEAT19; INT23; INT34,Interior,INT34: Cup Holders - DTU,D,,3500,No,,4
71e822df95d59d6fcd261c4e75c53585,B696553M,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/20/14,416,LUSW,01CA;01CC;01CD;0216;0225;0248;0249;0258;02TB;02V1;02VB;02VG;0302;0316;0319;0322;0337;03AG;03AT;03DZ;0402;0420;0423;0430;0431;0459;0465;0481;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0522;0524;0534;0544;0563;05A1;0609;0610;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0710;0715;0760;0775;0823;0840;0845;0853;0876;08KL;08S4;08SL;08SM;08TN;0927;0992;09AA,2,FCD08; INT27,Features/Controls/Displays (FCD),FCD08: Tire Pressure Monitor System - Indicators DTU/Poor Location,D,,4050,Yes,Partially,2
71e822df95d59d6fcd261c4e75c53585,B696553M,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/20/14,416,LUSW,01CA;01CC;01CD;0216;0225;0248;0249;0258;02TB;02V1;02VB;02VG;0302;0316;0319;0322;0337;03AG;03AT;03DZ;0402;0420;0423;0430;0431;0459;0465;0481;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0522;0524;0534;0544;0563;05A1;0609;0610;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0710;0715;0760;0775;0823;0840;0845;0853;0876;08KL;08S4;08SL;08SM;08TN;0927;0992;09AA,2,FCD08; INT27,Interior,INT27: Other Interior Storage Compartments - DTU,D,,4050,No,,2
06329f031d2fbcf158f53ea9f66675f6,B697273T,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,9/25/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;04FW;04NE;04NG;04U2;0508;0521;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,3,FCD31; SEAT06; SEAT08,Features/Controls/Displays (FCD),FCD31: Gauges/Instruments - Controls/Displays DTU/Poor Location,D,Expected digital speed and posted speed limits to be included as standard feature given the price of the X-3 (Copied from AEN97): Expected a digital display of speed and posted speed(Copied from FCD97): See comment above about lack of Digital Speed and Posted Speed Limit display,2000,Yes,Partially,3
06329f031d2fbcf158f53ea9f66675f6,B697273T,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,9/25/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;04FW;04NE;04NG;04U2;0508;0521;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,3,FCD31; SEAT06; SEAT08,Seats,SEAT06: Lumbar Support Adjustment - Controls DTU/Poor Location,D,I may learn how to better operate with practice. Owners Manual showed more adjustments as compared to our X3. May have over simplified.,2000,No,,3
06329f031d2fbcf158f53ea9f66675f6,B697273T,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,9/25/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;04FW;04NE;04NG;04U2;0508;0521;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,3,FCD31; SEAT06; SEAT08,Seats,SEAT08: Height Adjustment - Controls DTU/Poor Location,D,Owners Manual had more adjustmens as compared to our X-3,2000.00,No,,3
ad4eae83fd5c626196ce02fe9a3af53e,B959B46Y,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,9/25/14,668,LUCX,01CA;01CC;01CD;0205;0216;0249;0255;0258;02A1;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;04FU;04NE;04NG;04U2;0508;0521;0522;0524;0534;0544;0563;05A1;05DP;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08S4;08SL;08SM;08TN;0927;0992;09AA,1,ENGTRN10,Engine/Transmission,"""ENGTRN10: """"Check Engine"""" Light Indicated Problem""",M,,3483,Yes,Entirely,1
c1d00ec44da940e76bc8b17a6f390025,B696663V,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/14/14,A83,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FU;04NE;04NG;04U2;0502;0508;0521;0522;0524;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;07HW;0823;0845;0853;0876;08KL;08S4;08SL;08SM;08TN;0927;0992;09AA,2,AEN06; INT31,Audio/Communication/Entertainment/Navigation (ACEN),AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,D,About half the time; the system does not recognize the command,5000,No,,1
c1d00ec44da940e76bc8b17a6f390025,B696663V,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/14/14,A83,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FU;04NE;04NG;04U2;0502;0508;0521;0522;0524;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;07HW;0823;0845;0853;0876;08KL;08S4;08SL;08SM;08TN;0927;0992;09AA,2,AEN06; INT31,Interior,INT31: Overhead Console - DTU,D,,5000,No,,1
1b52ad3944d71364823c2bb047a815ba,B6973887,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/14/14,300,KCSW,01CA;01CC;01CD;0205;0216;0249;0255;0258;02K8;02VB;0302;0316;0319;03AG;03AT;0420;0423;0430;0431;0459;0465;0493;04FU;04NE;04NG;04U2;0508;0521;0534;0544;0563;05A1;0609;0645;0676;0693;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,1,AEN11,Audio/Communication/Entertainment/Navigation (ACEN),AEN11: Navigation System - DTU/Poor Location,D,,3000.00,No,,3
b31414386734f25ee0e9e079b8805ace,B69654BA,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/16/14,300,KCSW,01CA;01CC;01CD;0205;0216;0249;0255;0258;02K8;02VB;0302;0316;0319;03AT;0402;0420;0423;0430;0431;0459;0465;0493;04FW;04NE;04NG;04U2;0521;0534;0544;0563;05A1;0645;0663;0676;0693;0697;06AC;06AE;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,4,EXT38; EXT39; AEN01; HVAC02,Exterior,EXT38: Excessive Wind Noise,M,When driving you can hear outside noise; when on the freeway; you cannot hear the radio unless it is turned up. The noise seems to be coming from a gap within the doors.,2000,No,,5
b31414386734f25ee0e9e079b8805ace,B69654BA,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/16/14,300,KCSW,01CA;01CC;01CD;0205;0216;0249;0255;0258;02K8;02VB;0302;0316;0319;03AT;0402;0420;0423;0430;0431;0459;0465;0493;04FW;04NE;04NG;04U2;0521;0534;0544;0563;05A1;0645;0663;0676;0693;0697;06AC;06AE;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,4,EXT38; EXT39; AEN01; HVAC02,Exterior,EXT39: Excessive Road Noise,D,When driving you can hear outside noise.  When driving on the freeway; the noise is loud enough that it drowns out the radio.,2000,No,,5
b31414386734f25ee0e9e079b8805ace,B69654BA,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/16/14,300,KCSW,01CA;01CC;01CD;0205;0216;0249;0255;0258;02K8;02VB;0302;0316;0319;03AT;0402;0420;0423;0430;0431;0459;0465;0493;04FW;04NE;04NG;04U2;0521;0534;0544;0563;05A1;0645;0663;0676;0693;0697;06AC;06AE;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,4,EXT38; EXT39; AEN01; HVAC02,Audio/Communication/Entertainment/Navigation (ACEN),AEN01: Radio Has Poor/No Reception,D,When driving there are times when the reception will fade out; when going through a tunnel or under a bridge there is static with AM stations.,2000,No,,4
b31414386734f25ee0e9e079b8805ace,B69654BA,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/16/14,300,KCSW,01CA;01CC;01CD;0205;0216;0249;0255;0258;02K8;02VB;0302;0316;0319;03AT;0402;0420;0423;0430;0431;0459;0465;0493;04FW;04NE;04NG;04U2;0521;0534;0544;0563;05A1;0645;0663;0676;0693;0697;06AC;06AE;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,4,EXT38; EXT39; AEN01; HVAC02,Heating; Ventilation; and Air Conditioning (HVAC),HVAC02: Front Heating/Cooling Controls - DTU/Poor Location,D,The off button and the knob to adjust the temperature seems to do dual functions. If I turn the temperature up; it activates the air.,2000,No,,2
387421c782bc92ed18a269e4351ded2c,B697B73V,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/18/14,A75,LUB4,01CA;01CC;01CD;0216;0225;0249;0258;02TB;02V1;02VB;02VG;0302;0316;0319;0322;0337;03AG;03DZ;03MC;0402;0420;0423;0430;0431;0459;0465;0481;0488;0493;0494;04FW;04NE;04NG;04U2;0508;0521;0522;0524;0534;0544;0563;05A1;0609;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NH;0710;0715;0760;0775;0823;0840;0845;0853;0876;08KL;08S4;08SL;08SM;08TN;0927;0992;09AA,2,EXT38; INT40,Exterior,EXT38: Excessive Wind Noise,M,,4000,No,,4
387421c782bc92ed18a269e4351ded2c,B697B73V,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/18/14,A75,LUB4,01CA;01CC;01CD;0216;0225;0249;0258;02TB;02V1;02VB;02VG;0302;0316;0319;0322;0337;03AG;03DZ;03MC;0402;0420;0423;0430;0431;0459;0465;0481;0488;0493;0494;04FW;04NE;04NG;04U2;0508;0521;0522;0524;0534;0544;0563;05A1;0609;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NH;0710;0715;0760;0775;0823;0840;0845;0853;0876;08KL;08S4;08SL;08SM;08TN;0927;0992;09AA,2,EXT38; INT40,Interior,INT40: Materials Scuff/Soil Easily,D,,4000,No,,3
80518f125dd2057c641ca1c8ea04f7b7,B696857K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/21/14,300,LUD3,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,6,AEN10; SEAT06; SEAT08; SEAT12; INT34; ENGTRN02,Audio/Communication/Entertainment/Navigation (ACEN),AEN10: Navigation System - Broken/NW,M,(Copied from AEN97): Car refused to start. After it started; navigation system had changed display. After car was turned off and restarted a few minutes later; everything returned to the previous display.,,No,,2
80518f125dd2057c641ca1c8ea04f7b7,B696857K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/21/14,300,LUD3,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,6,AEN10; SEAT06; SEAT08; SEAT12; INT34; ENGTRN02,Seats,SEAT06: Lumbar Support Adjustment - Controls DTU/Poor Location,D,,,No,,4
80518f125dd2057c641ca1c8ea04f7b7,B696857K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/21/14,300,LUD3,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,6,AEN10; SEAT06; SEAT08; SEAT12; INT34; ENGTRN02,Seats,SEAT08: Height Adjustment - Controls DTU/Poor Location,D,,,No,,2
80518f125dd2057c641ca1c8ea04f7b7,B696857K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/21/14,300,LUD3,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,6,AEN10; SEAT06; SEAT08; SEAT12; INT34; ENGTRN02,Seats,SEAT12: Folding/Stowable Seat - Controls DTU/Poor Location,D,,,No,,4
80518f125dd2057c641ca1c8ea04f7b7,B696857K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,10/21/14,300,LUD3,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,6,AEN10; SEAT06; SEAT08; SEAT12; INT34; ENGTRN02,Interior,INT34: Cup Holders - DTU,D,Would be better if it was just a space and didn't hold cup tightly,,No,,3
